Time, Panel Voltage, Light LUX, Bearing, Solar Azimuth, Offset, Zenith
09:27:05,8.4,4250.0,111.0,111.39,0.39,30.42
09:27:07,8.4,4316.0,112.0,111.4,-0.6,30.43
09:27:09,8.4,4319.0,113.0,111.4,-1.6,30.43
09:27:11,8.4,4304.0,114.0,111.41,-2.59,30.44
09:27:13,8.4,4302.0,115.0,111.42,-3.58,30.44
09:27:15,8.4,4321.0,116.0,111.43,-4.57,30.45
09:27:16,8.4,4317.0,117.0,111.43,-5.57,30.45
09:27:18,8.4,4264.0,118.0,111.44,-6.56,30.46
09:27:20,8.4,4289.0,119.0,111.44,-7.56,30.46
09:27:22,8.4,4321.0,120.0,111.45,-8.55,30.47
09:27:24,8.4,4324.0,121.0,111.46,-9.54,30.47
09:27:26,8.4,4306.0,122.0,111.47,-10.53,30.48
09:27:27,8.4,4357.0,123.0,111.47,-11.53,30.48
09:27:29,8.4,4372.0,124.0,111.48,-12.52,30.48
09:27:31,8.4,4371.0,125.0,111.49,-13.51,30.49
09:27:33,8.4,4403.0,126.0,111.49,-14.51,30.49
09:27:35,8.4,4385.0,127.0,111.5,-15.5,30.5
09:27:37,8.4,4396.0,128.0,111.51,-16.49,30.5
09:27:39,8.4,4398.0,129.0,111.52,-17.48,30.51
09:27:41,8.4,4412.0,130.0,111.52,-18.48,30.51
09:27:43,8.4,4322.0,131.0,111.53,-19.47,30.52
09:27:44,8.4,4352.0,132.0,111.54,-20.46,30.52
09:27:46,8.4,3988.0,133.0,111.54,-21.46,30.53
09:27:48,8.4,4262.0,134.0,111.55,-22.45,30.53
09:27:50,8.4,4305.0,135.0,111.56,-23.44,30.54
09:27:52,8.4,4315.0,136.0,111.57,-24.43,30.54
09:27:54,8.4,4294.0,137.0,111.57,-25.43,30.54
09:27:56,8.4,4315.0,138.0,111.58,-26.42,30.55
09:27:58,8.4,4331.0,139.0,111.59,-27.41,30.55
09:28:00,8.4,4319.0,140.0,111.6,-28.4,30.56
09:28:02,8.4,4315.0,141.0,111.6,-29.4,30.56
09:28:04,8.4,4305.0,142.0,111.61,-30.39,30.57
09:28:06,8.4,4305.0,143.0,111.62,-31.38,30.57
09:28:08,8.4,4302.0,144.0,111.63,-32.37,30.58
09:28:09,8.4,4317.0,145.0,111.63,-33.37,30.58
09:28:11,8.4,4323.0,146.0,111.64,-34.36,30.59
09:28:13,8.4,4322.0,147.0,111.65,-35.35,30.59
09:28:15,8.4,4321.0,148.0,111.65,-36.35,30.6
09:28:16,8.4,4315.0,149.0,111.66,-37.34,30.6
