Time, Panel Voltage, Light LUX, Bearing, Solar Azimuth, Offset, Zenith
07:18:56,6.9,447.0,89.0,89.0,0.0,6.06
07:19:41,6.9,506.0,89.0,89.14,0.14,6.18
07:20:26,7.2,546.0,89.0,89.29,0.29,6.29
07:21:11,7.5,587.0,89.0,89.43,0.43,6.41
07:21:56,7.8,622.0,89.0,89.58,0.58,6.53
07:22:42,8.1,652.0,89.0,89.72,0.72,6.64
07:23:27,8.1,660.0,89.0,89.87,0.87,6.76
07:24:12,8.1,664.0,89.0,90.01,1.01,6.88
07:24:57,8.1,668.0,89.0,90.16,1.16,7.0
07:25:42,8.1,689.0,89.0,90.3,1.3,7.11
07:26:27,8.1,700.0,89.0,90.45,1.45,7.23
07:27:12,8.1,714.0,89.0,90.6,1.6,7.35
07:27:57,8.1,736.0,89.0,90.74,1.74,7.46
07:28:42,8.1,754.0,89.0,90.89,1.89,7.58
07:29:27,8.4,771.0,89.0,91.03,2.03,7.7
07:30:12,8.4,797.0,89.0,91.18,2.18,7.82
07:30:57,8.4,823.0,89.0,91.32,2.32,7.93
07:31:42,8.4,844.0,89.0,91.47,2.47,8.05
07:32:27,8.4,856.0,89.0,91.61,2.61,8.17
07:33:12,8.4,862.0,89.0,91.76,2.76,8.28
07:33:57,8.4,878.0,89.0,91.9,2.9,8.4
07:34:42,8.4,893.0,89.0,92.05,3.05,8.52
07:35:27,8.4,911.0,89.0,92.2,3.2,8.64
07:36:12,8.4,938.0,89.0,92.34,3.34,8.75
07:36:57,8.4,959.0,89.0,92.49,3.49,8.87
07:37:42,8.4,979.0,89.0,92.63,3.63,8.99
07:38:27,8.4,994.0,89.0,92.78,3.78,9.11
07:39:12,8.4,1010.0,89.0,92.93,3.93,9.22
07:39:57,8.4,1029.0,89.0,93.07,4.07,9.34
07:40:42,8.4,1048.0,89.0,93.22,4.22,9.46
07:41:27,8.4,1070.0,89.0,93.36,4.36,9.58
07:42:12,8.4,1082.0,89.0,93.51,4.51,9.69
07:42:57,8.4,893.0,89.0,93.66,4.66,9.81
07:43:42,8.4,907.0,89.0,93.8,4.8,9.93
07:44:27,8.4,941.0,89.0,93.95,4.95,10.05
07:45:12,8.4,960.0,89.0,94.1,5.1,10.16
07:45:57,8.4,973.0,89.0,94.24,5.24,10.28
07:46:42,8.4,982.0,89.0,94.39,5.39,10.4
07:47:27,8.4,990.0,89.0,94.54,5.54,10.52
07:48:12,8.4,999.0,89.0,94.68,5.68,10.63
07:48:57,8.4,1013.0,89.0,94.83,5.83,10.75
07:49:42,8.4,1025.0,89.0,94.98,5.98,10.87
07:50:27,8.4,1035.0,89.0,95.12,6.12,10.99
07:51:12,8.4,1051.0,89.0,95.27,6.27,11.1
07:51:57,8.4,1069.0,89.0,95.42,6.42,11.22
07:52:42,8.4,1076.0,89.0,95.57,6.57,11.34
07:53:27,8.1,1085.0,89.0,95.71,6.71,11.46
07:54:12,8.1,1099.0,89.0,95.86,6.86,11.57
