Time, Panel Voltage, Light LUX, Bearing, Solar Azimuth, Offset, Zenith
08:15:53,8.4,1374.0,100.0,100.17,0.17,14.96
08:16:38,8.4,1383.0,100.0,100.32,0.32,15.07
08:17:23,8.4,1387.0,100.0,100.47,0.47,15.19
08:18:08,8.4,1401.0,100.0,100.62,0.62,15.31
08:18:53,8.4,1412.0,100.0,100.77,0.77,15.42
08:19:38,8.1,1421.0,100.0,100.92,0.92,15.54
08:20:23,8.1,1423.0,100.0,101.08,1.08,15.66
08:21:08,8.4,1426.0,100.0,101.23,1.23,15.77
08:21:53,8.1,1433.0,100.0,101.38,1.38,15.89
08:22:38,8.1,1452.0,100.0,101.53,1.53,16.0
08:23:23,8.1,1453.0,100.0,101.68,1.68,16.12
08:24:08,8.1,1447.0,100.0,101.83,1.83,16.24
08:24:53,8.1,1456.0,100.0,101.99,1.99,16.35
08:25:38,8.1,1459.0,100.0,102.14,2.14,16.47
08:26:23,8.1,1468.0,100.0,102.29,2.29,16.58
08:27:08,8.1,1486.0,100.0,102.44,2.44,16.7
08:27:53,7.8,1504.0,100.0,102.6,2.6,16.81
08:28:38,7.8,1511.0,100.0,102.75,2.75,16.93
08:29:23,7.8,1514.0,100.0,102.9,2.9,17.05
08:30:08,7.8,1527.0,100.0,103.06,3.06,17.16
08:30:53,7.8,1534.0,100.0,103.21,3.21,17.28
08:31:38,7.8,1545.0,100.0,103.36,3.36,17.39
08:32:23,7.8,1547.0,100.0,103.52,3.52,17.51
08:33:08,8.1,1550.0,100.0,103.67,3.67,17.62
08:33:54,8.1,1560.0,100.0,103.83,3.83,17.74
08:34:39,8.1,1472.0,100.0,103.98,3.98,17.85
08:35:24,8.1,1554.0,100.0,104.14,4.14,17.97
08:36:09,8.1,1562.0,100.0,104.29,4.29,18.08
08:36:54,8.1,1593.0,100.0,104.45,4.45,18.2
08:37:39,8.1,1578.0,100.0,104.6,4.6,18.31
08:38:24,8.1,1587.0,100.0,104.76,4.76,18.43
08:39:09,8.4,1587.0,100.0,104.91,4.91,18.54
08:39:54,8.1,1602.0,100.0,105.07,5.07,18.66
08:40:39,8.1,1618.0,100.0,105.22,5.22,18.77
08:41:24,8.4,1662.0,100.0,105.38,5.38,18.89
08:42:09,8.1,1675.0,100.0,105.53,5.53,19.0
08:42:54,8.1,1691.0,100.0,105.69,5.69,19.11
08:43:39,8.1,1696.0,100.0,105.85,5.85,19.23
08:44:24,8.1,1708.0,100.0,106.0,6.0,19.34
08:45:09,8.1,1724.0,100.0,106.16,6.16,19.46
08:45:54,8.1,1738.0,100.0,106.32,6.32,19.57
08:46:39,8.1,1745.0,100.0,106.47,6.47,19.68
08:47:24,8.1,1747.0,100.0,106.63,6.63,19.8
08:48:09,8.1,1767.0,100.0,106.79,6.79,19.91
08:48:54,8.1,1788.0,100.0,106.95,6.95,20.02
08:49:39,8.1,1799.0,100.0,107.1,7.1,20.14
08:50:24,8.1,1808.0,100.0,107.26,7.26,20.25
08:51:09,8.1,1808.0,100.0,107.42,7.42,20.36
08:51:54,8.1,1806.0,100.0,107.58,7.58,20.48
08:52:39,8.1,1817.0,100.0,107.74,7.74,20.59
08:53:24,8.1,1837.0,100.0,107.9,7.9,20.7
08:54:09,8.1,1839.0,100.0,108.05,8.05,20.82
08:54:54,8.1,1846.0,100.0,108.21,8.21,20.93
08:55:39,8.1,1853.0,100.0,108.37,8.37,21.04
08:56:24,8.1,1872.0,100.0,108.53,8.53,21.15
08:57:09,8.1,1879.0,100.0,108.69,8.69,21.27
08:57:54,8.1,1878.0,100.0,108.85,8.85,21.38
08:58:39,8.1,1887.0,100.0,109.01,9.01,21.49
08:59:24,8.1,1903.0,100.0,109.17,9.17,21.6
09:00:09,8.1,1916.0,100.0,109.33,9.33,21.71
09:00:54,8.1,1912.0,100.0,109.49,9.49,21.83
09:01:39,8.1,1924.0,100.0,109.66,9.66,21.94
09:02:24,8.1,1929.0,100.0,109.82,9.82,22.05
09:03:09,8.1,1941.0,100.0,109.98,9.98,22.16
09:03:54,8.1,1936.0,100.0,110.14,10.14,22.27
09:04:39,8.1,1939.0,100.0,110.3,10.3,22.38
09:05:24,8.1,1953.0,100.0,110.46,10.46,22.49
