Time, Panel Voltage, Light LUX, Bearing, Solar Azimuth, Offset, Zenith
10:50:16,23.49,7472.0,133.0,132.62,-0.38,41.58
10:50:18,23.46,7651.0,132.0,132.63,0.63,41.58
10:50:20,23.46,7442.0,131.0,132.64,1.64,41.59
10:50:22,23.46,7606.0,130.0,132.65,2.65,41.59
10:50:24,23.46,9135.0,129.0,132.66,3.66,41.59
10:50:26,23.49,7795.0,128.0,132.67,4.67,41.6
10:50:28,23.49,7551.0,127.0,132.68,5.68,41.6
10:50:30,23.46,7563.0,126.0,132.69,6.69,41.61
10:50:32,23.46,7511.0,125.0,132.7,7.7,41.61
10:50:34,23.46,7531.0,124.0,132.71,8.71,41.61
10:50:36,23.43,7533.0,123.0,132.72,9.72,41.62
10:50:37,23.43,7537.0,122.0,132.72,10.72,41.62
10:50:39,23.43,7545.0,121.0,132.73,11.73,41.62
10:50:41,23.43,7543.0,120.0,132.74,12.74,41.63
10:50:43,23.43,7559.0,119.0,132.75,13.75,41.63
10:50:45,23.43,7557.0,118.0,132.76,14.76,41.64
10:50:47,23.43,7567.0,117.0,132.77,15.77,41.64
10:50:49,23.43,7577.0,116.0,132.78,16.78,41.64
10:50:51,23.43,7596.0,115.0,132.79,17.79,41.65
10:50:53,23.4,7609.0,114.0,132.8,18.8,41.65
10:50:54,23.4,7613.0,113.0,132.81,19.81,41.65
10:50:56,23.4,7623.0,112.0,132.81,20.81,41.66
10:50:58,23.4,7627.0,111.0,132.82,21.82,41.66
10:51:00,23.4,7640.0,110.0,132.83,22.83,41.66
10:51:02,23.4,7648.0,109.0,132.84,23.84,41.67
10:51:04,23.4,7648.0,108.0,132.85,24.85,41.67
10:51:06,23.4,7673.0,107.0,132.86,25.86,41.68
10:51:08,23.4,7683.0,106.0,132.87,26.87,41.68
10:51:10,23.37,7698.0,105.0,132.88,27.88,41.68
10:51:12,23.37,7708.0,104.0,132.89,28.89,41.69
10:51:14,23.37,7717.0,103.0,132.9,29.9,41.69
10:51:15,23.37,7742.0,102.0,132.91,30.91,41.69
10:51:17,23.37,7731.0,101.0,132.92,31.92,41.7
10:51:19,23.37,7756.0,100.0,132.93,32.93,41.7
10:51:21,23.34,7766.0,99.0,132.94,33.94,41.71
10:51:23,23.34,7775.0,98.0,132.94,34.94,41.71
10:51:25,23.34,7785.0,97.0,132.95,35.95,41.71
10:51:27,23.34,7812.0,96.0,132.96,36.96,41.72
10:51:29,23.34,7812.0,95.0,132.97,37.97,41.72
10:51:31,23.34,7822.0,94.0,132.98,38.98,41.72
10:51:33,23.34,7835.0,93.0,132.99,39.99,41.73
10:51:35,23.34,7853.0,92.0,133.0,41.0,41.73
10:51:36,23.34,7862.0,91.0,133.01,42.01,41.73
10:51:38,23.31,7891.0,90.0,133.02,43.02,41.74
10:51:40,23.31,7916.0,89.0,133.03,44.03,41.74
10:51:42,23.31,7958.0,88.0,133.04,45.04,41.75
10:51:44,23.31,7972.0,87.0,133.05,46.05,41.75
10:51:46,23.31,8019.0,86.0,133.06,47.06,41.75
10:51:48,23.31,8057.0,85.0,133.07,48.07,41.76
10:51:49,23.31,8070.0,84.0,133.07,49.07,41.76
10:51:51,23.28,8151.0,83.0,133.08,50.08,41.76
10:51:53,23.28,8238.0,82.0,133.09,51.09,41.77
10:51:55,23.28,8262.0,81.0,133.1,52.1,41.77
10:51:57,23.28,8316.0,80.0,133.11,53.11,41.77
10:51:58,23.28,8363.0,79.0,133.11,54.11,41.78
10:52:00,23.28,8456.0,78.0,133.12,55.12,41.78
10:52:02,23.28,8592.0,77.0,133.13,56.13,41.78
10:52:04,23.25,8575.0,76.0,133.14,57.14,41.79
10:52:06,23.25,8626.0,75.0,133.15,58.15,41.79
10:52:08,23.25,8682.0,74.0,133.16,59.16,41.8
10:52:10,23.25,8741.0,73.0,133.17,60.17,41.8
10:52:12,23.25,8797.0,72.0,133.18,61.18,41.8
10:52:14,23.22,8849.0,71.0,133.19,62.19,41.81
10:52:16,23.22,8896.0,70.0,133.2,63.2,41.81
10:52:18,23.22,8931.0,69.0,133.21,64.21,41.81
10:52:19,23.22,8916.0,68.0,133.22,65.22,41.82
10:52:21,23.22,8952.0,67.0,133.23,66.23,41.82
10:52:23,23.19,8934.0,66.0,133.23,67.23,41.82
10:52:25,23.19,8903.0,65.0,133.24,68.24,41.83
10:52:27,23.19,8921.0,64.0,133.25,69.25,41.83
10:52:28,23.19,8936.0,63.0,133.26,70.26,41.83
10:52:31,23.19,8850.0,62.0,133.27,71.27,41.84
10:52:32,23.19,8852.0,61.0,133.28,72.28,41.84
10:52:34,23.16,8765.0,60.0,133.29,73.29,41.85
10:52:36,23.16,8632.0,59.0,133.3,74.3,41.85
10:52:38,23.16,8652.0,58.0,133.31,75.31,41.85
10:52:40,23.16,8598.0,57.0,133.32,76.32,41.86
10:52:41,23.16,8544.0,56.0,133.32,77.32,41.86
10:52:43,23.13,8468.0,55.0,133.33,78.33,41.86
10:52:45,23.13,8377.0,54.0,133.34,79.34,41.87
10:52:47,23.13,8380.0,53.0,133.35,80.35,41.87
10:52:49,23.13,8334.0,52.0,133.36,81.36,41.87
10:52:51,23.1,8288.0,51.0,133.37,82.37,41.88
10:52:53,23.1,8251.0,50.0,133.38,83.38,41.88
10:52:55,23.07,8219.0,49.0,133.39,84.39,41.89
10:52:57,23.07,8187.0,48.0,133.4,85.4,41.89
10:52:59,23.07,8153.0,47.0,133.41,86.41,41.89
10:53:01,23.07,8156.0,46.0,133.42,87.42,41.9
10:53:03,23.04,8150.0,45.0,133.43,88.43,41.9
10:53:05,23.04,8147.0,44.0,133.44,89.44,41.91
10:53:07,23.04,8130.0,43.0,133.45,90.45,41.91
10:53:09,23.04,8141.0,42.0,133.46,91.46,41.91
10:53:11,23.04,8140.0,41.0,133.47,92.47,41.92
10:53:13,23.01,8157.0,40.0,133.48,93.48,41.92
10:53:15,23.01,8152.0,39.0,133.49,94.49,41.92
10:53:17,23.01,8186.0,38.0,133.5,95.5,41.93
10:53:19,22.98,8200.0,37.0,133.51,96.51,41.93
10:53:21,22.98,8215.0,36.0,133.52,97.52,41.94
10:53:23,22.98,8229.0,35.0,133.53,98.53,41.94
10:53:24,22.98,8244.0,34.0,133.53,99.53,41.94
10:53:26,22.95,8260.0,33.0,133.54,100.54,41.95
10:53:28,22.95,8291.0,32.0,133.55,101.55,41.95
10:53:30,22.95,8301.0,31.0,133.56,102.56,41.95
10:53:32,22.92,8315.0,30.0,133.57,103.57,41.96
10:53:33,22.92,8324.0,29.0,133.57,104.57,41.96
10:53:35,22.92,8344.0,28.0,133.58,105.58,41.96
10:53:37,22.92,8351.0,27.0,133.59,106.59,41.97
10:53:39,22.89,8367.0,26.0,133.6,107.6,41.97
10:53:41,22.89,8382.0,25.0,133.61,108.61,41.97
10:53:43,22.89,8390.0,24.0,133.62,109.62,41.98
10:53:45,22.86,8407.0,23.0,133.63,110.63,41.98
10:53:46,22.86,8411.0,22.0,133.64,111.64,41.98
10:53:48,22.83,8429.0,21.0,133.65,112.65,41.99
10:53:50,22.83,8448.0,20.0,133.66,113.66,41.99
10:53:52,22.8,8452.0,19.0,133.67,114.67,42.0
10:53:54,22.8,8458.0,18.0,133.68,115.68,42.0
10:53:55,22.8,8471.0,17.0,133.68,116.68,42.0
10:53:57,22.77,8466.0,16.0,133.69,117.69,42.0
10:53:59,22.77,8470.0,15.0,133.7,118.7,42.01
10:54:01,22.74,8478.0,14.0,133.71,119.71,42.01
10:54:03,22.74,8488.0,13.0,133.72,120.72,42.02
10:54:05,22.71,8486.0,12.0,133.73,121.73,42.02
10:54:07,22.71,8496.0,11.0,133.74,122.74,42.02
10:54:09,22.68,8503.0,10.0,133.75,123.75,42.03
10:54:11,22.68,8513.0,9.0,133.76,124.76,42.03
10:54:13,22.68,8526.0,8.0,133.77,125.77,42.04
10:54:15,22.65,8525.0,7.0,133.78,126.78,42.04
10:54:16,22.65,8538.0,6.0,133.78,127.78,42.04
10:54:18,22.62,8533.0,5.0,133.79,128.79,42.04
10:54:20,22.62,8541.0,4.0,133.8,129.8,42.05
