Time, Panel Voltage, Light LUX, Bearing, Solar Azimuth, Offset, Zenith
09:19:36,8.4,4140.0,110.0,109.7,-0.3,29.32
09:19:38,8.4,4080.0,109.0,109.71,0.71,29.32
09:19:40,8.4,4040.0,108.0,109.72,1.72,29.33
09:19:42,8.4,4115.0,107.0,109.72,2.72,29.33
09:19:44,8.4,4081.0,106.0,109.73,3.73,29.34
09:19:45,8.4,4130.0,105.0,109.74,4.74,29.34
09:19:47,8.4,4060.0,104.0,109.74,5.74,29.34
09:19:49,8.4,4066.0,103.0,109.75,6.75,29.35
09:19:51,8.4,4057.0,102.0,109.76,7.76,29.35
09:19:53,8.4,4102.0,101.0,109.76,8.76,29.36
09:19:55,8.4,4164.0,100.0,109.77,9.77,29.36
09:19:56,8.4,4168.0,99.0,109.78,10.78,29.37
09:19:58,8.4,4156.0,98.0,109.78,11.78,29.37
09:20:00,8.4,4128.0,97.0,109.79,12.79,29.38
09:20:02,8.4,4130.0,96.0,109.8,13.8,29.38
09:20:04,8.4,4138.0,95.0,109.81,14.81,29.39
09:20:06,8.4,4129.0,94.0,109.81,15.81,29.39
09:20:07,8.4,4129.0,93.0,109.82,16.82,29.39
09:20:10,8.4,4140.0,92.0,109.83,17.83,29.4
09:20:11,8.4,4134.0,91.0,109.83,18.83,29.4
09:20:13,8.4,4140.0,90.0,109.84,19.84,29.41
09:20:15,8.4,4140.0,89.0,109.85,20.85,29.41
09:20:17,8.4,4138.0,88.0,109.85,21.85,29.42
09:20:19,8.4,4134.0,87.0,109.86,22.86,29.42
09:20:21,8.4,4140.0,86.0,109.87,23.87,29.43
09:20:23,8.4,4146.0,85.0,109.88,24.88,29.43
09:20:24,8.4,4136.0,84.0,109.88,25.88,29.44
09:20:26,8.4,4136.0,83.0,109.89,26.89,29.44
09:20:28,8.4,4153.0,82.0,109.9,27.9,29.45
09:20:30,8.4,4150.0,81.0,109.9,28.9,29.45
09:20:32,8.4,4155.0,80.0,109.91,29.91,29.45
09:20:34,8.4,4163.0,79.0,109.92,30.92,29.46
09:20:35,8.4,4163.0,78.0,109.92,31.92,29.46
09:20:37,8.4,4152.0,77.0,109.93,32.93,29.47
09:20:39,8.4,4167.0,76.0,109.94,33.94,29.47
09:20:41,8.4,4172.0,75.0,109.94,34.94,29.48
09:20:43,8.4,4176.0,74.0,109.95,35.95,29.48
09:20:45,8.4,4158.0,73.0,109.96,36.96,29.49
09:20:47,8.4,4175.0,72.0,109.97,37.97,29.49
09:20:49,8.4,4175.0,71.0,109.97,38.97,29.5
09:20:50,8.4,4259.0,70.0,109.98,39.98,29.5
09:20:52,8.4,4108.0,69.0,109.98,40.98,29.5
09:20:54,8.4,4110.0,68.0,109.99,41.99,29.51
09:20:56,8.4,4130.0,67.0,110.0,43.0,29.51
09:20:58,8.4,4149.0,66.0,110.01,44.01,29.52
09:21:00,8.4,4168.0,65.0,110.01,45.01,29.52
09:21:01,8.4,4176.0,64.0,110.02,46.02,29.53
09:21:03,8.4,4184.0,63.0,110.03,47.03,29.53
09:21:05,8.4,4203.0,62.0,110.03,48.03,29.54
09:21:07,8.4,4193.0,61.0,110.04,49.04,29.54
09:21:09,8.4,4360.0,60.0,110.05,50.05,29.55
09:21:11,8.4,4332.0,59.0,110.06,51.06,29.55
09:21:13,8.4,4347.0,58.0,110.06,52.06,29.56
09:21:15,8.4,4376.0,57.0,110.07,53.07,29.56
09:21:17,8.4,4386.0,56.0,110.08,54.08,29.57
09:21:18,8.4,4406.0,55.0,110.08,55.08,29.57
09:21:20,8.4,4419.0,54.0,110.09,56.09,29.57
09:21:22,8.4,4412.0,53.0,110.1,57.1,29.58
09:21:24,8.4,4431.0,52.0,110.1,58.1,29.58
09:21:26,8.4,4440.0,51.0,110.11,59.11,29.59
09:21:28,8.4,4437.0,50.0,110.12,60.12,29.59
09:21:29,8.4,4452.0,49.0,110.12,61.12,29.6
09:21:31,8.4,4586.0,48.0,110.13,62.13,29.6
09:21:33,8.4,4454.0,47.0,110.14,63.14,29.61
09:21:35,8.4,4448.0,46.0,110.15,64.15,29.61
09:21:37,8.4,4437.0,45.0,110.15,65.15,29.62
09:21:39,8.4,4435.0,44.0,110.16,66.16,29.62
09:21:40,8.4,4418.0,43.0,110.16,67.16,29.62
09:21:43,8.4,4402.0,42.0,110.18,68.18,29.63
09:21:44,8.4,4379.0,41.0,110.18,69.18,29.63
09:21:46,8.4,4368.0,40.0,110.19,70.19,29.64
09:21:48,8.4,4353.0,39.0,110.19,71.19,29.64
09:21:50,8.4,4334.0,38.0,110.2,72.2,29.65
09:21:52,8.4,4298.0,37.0,110.21,73.21,29.65
09:21:54,8.4,4299.0,36.0,110.22,74.22,29.66
09:21:56,8.4,4288.0,35.0,110.22,75.22,29.66
09:21:57,8.4,4263.0,34.0,110.23,76.23,29.67
09:21:59,8.4,4248.0,33.0,110.24,77.24,29.67
09:22:01,8.4,4240.0,32.0,110.24,78.24,29.68
09:22:03,8.4,4234.0,31.0,110.25,79.25,29.68
09:22:05,8.4,4215.0,30.0,110.26,80.26,29.69
09:22:07,8.1,4211.0,29.0,110.27,81.27,29.69
09:22:08,8.1,4200.0,28.0,110.27,82.27,29.69
09:22:10,8.1,4187.0,27.0,110.28,83.28,29.7
09:22:12,8.1,4184.0,26.0,110.28,84.28,29.7
09:22:14,8.1,4199.0,25.0,110.29,85.29,29.71
09:22:16,8.1,4180.0,24.0,110.3,86.3,29.71
09:22:18,8.1,4176.0,23.0,110.31,87.31,29.72
09:22:20,8.1,4174.0,22.0,110.31,88.31,29.72
09:22:22,8.1,4163.0,21.0,110.32,89.32,29.73
