Time, Panel Voltage, Light LUX, Bearing, Solar Azimuth, Offset, Zenith
07:15:13,6.9,415.0,88.0,87.72,-0.28,6.48
07:15:58,6.9,434.0,88.0,87.86,-0.14,6.6
07:16:43,7.2,445.0,88.0,88.0,0.0,6.72
07:17:28,7.2,447.0,88.0,88.15,0.15,6.83
07:18:13,7.2,447.0,88.0,88.29,0.29,6.95
07:18:58,7.2,448.0,88.0,88.44,0.44,7.07
07:19:43,7.2,460.0,88.0,88.58,0.58,7.18
07:20:28,7.2,483.0,88.0,88.73,0.73,7.3
07:21:13,7.2,505.0,88.0,88.87,0.87,7.42
07:21:58,7.2,528.0,88.0,89.02,1.02,7.53
07:22:43,7.5,551.0,88.0,89.16,1.16,7.65
07:23:28,7.5,574.0,88.0,89.31,1.31,7.77
07:24:13,7.5,591.0,88.0,89.45,1.45,7.89
07:24:58,7.5,608.0,88.0,89.6,1.6,8.0
07:25:43,7.5,626.0,88.0,89.74,1.74,8.12
07:26:28,7.5,642.0,88.0,89.89,1.89,8.24
07:27:13,7.5,639.0,88.0,90.03,2.03,8.36
07:27:58,7.5,635.0,88.0,90.18,2.18,8.47
07:28:43,7.8,665.0,88.0,90.32,2.32,8.59
07:29:28,7.8,680.0,88.0,90.47,2.47,8.71
07:30:13,7.8,699.0,88.0,90.61,2.61,8.83
07:30:58,7.8,721.0,88.0,90.76,2.76,8.94
07:31:43,7.8,744.0,88.0,90.9,2.9,9.06
07:32:28,7.8,758.0,88.0,91.05,3.05,9.18
07:33:13,7.8,773.0,88.0,91.2,3.2,9.3
07:33:58,7.8,800.0,88.0,91.34,3.34,9.41
07:34:43,7.8,837.0,88.0,91.49,3.49,9.53
07:35:28,8.1,870.0,88.0,91.63,3.63,9.65
07:36:13,8.1,909.0,88.0,91.78,3.78,9.77
07:36:58,8.1,917.0,88.0,91.92,3.92,9.88
07:37:43,8.1,928.0,88.0,92.07,4.07,10.0
07:38:28,8.1,930.0,88.0,92.21,4.21,10.12
07:39:13,8.1,938.0,88.0,92.36,4.36,10.24
07:39:58,7.8,922.0,88.0,92.51,4.51,10.35
07:40:43,8.1,969.0,88.0,92.65,4.65,10.47
07:41:28,8.1,1016.0,88.0,92.8,4.8,10.59
07:42:13,8.1,1044.0,88.0,92.95,4.95,10.71
07:42:58,8.1,1086.0,88.0,93.09,5.09,10.83
07:43:43,8.1,1142.0,88.0,93.24,5.24,10.94
07:44:28,8.1,1176.0,88.0,93.38,5.38,11.06
07:45:13,8.1,1172.0,88.0,93.53,5.53,11.18
07:45:58,8.1,1185.0,88.0,93.68,5.68,11.3
07:46:43,8.1,1175.0,88.0,93.82,5.82,11.41
07:47:28,8.1,1177.0,88.0,93.97,5.97,11.53
07:48:13,8.1,1172.0,88.0,94.12,6.12,11.65
07:48:58,8.1,1153.0,88.0,94.26,6.26,11.77
07:49:43,8.1,1188.0,88.0,94.41,6.41,11.89
07:50:28,8.1,1208.0,88.0,94.56,6.56,12.0
07:51:13,8.1,1231.0,88.0,94.71,6.71,12.12
07:51:58,8.1,1228.0,88.0,94.85,6.85,12.24
07:52:43,8.1,1209.0,88.0,95.0,7.0,12.36
07:53:28,8.1,1182.0,88.0,95.15,7.15,12.47
07:54:13,7.8,1150.0,88.0,95.3,7.3,12.59
07:54:58,7.8,1135.0,88.0,95.44,7.44,12.71
07:55:43,7.8,1138.0,88.0,95.59,7.59,12.83
07:56:28,7.8,1139.0,88.0,95.74,7.74,12.94
07:57:13,7.8,1151.0,88.0,95.89,7.89,13.06
07:57:58,7.8,1188.0,88.0,96.03,8.03,13.18
07:58:43,7.8,1235.0,88.0,96.18,8.18,13.3
07:59:28,8.1,1283.0,88.0,96.33,8.33,13.41
08:00:13,8.1,1324.0,88.0,96.48,8.48,13.53
08:00:58,7.8,1293.0,88.0,96.63,8.63,13.65
08:01:43,7.8,1236.0,88.0,96.78,8.78,13.77
08:02:28,7.8,1218.0,88.0,96.92,8.92,13.88
