Time, Panel Voltage, Light LUX, Bearing, Solar Azimuth, Offset, Zenith
10:24:32,8.1,3124.0,129.0,129.13,0.13,33.34
10:25:17,7.8,2257.0,129.0,129.33,0.33,33.44
10:26:02,7.5,1463.0,129.0,129.52,0.52,33.53
10:26:47,8.1,2809.0,129.0,129.72,0.72,33.62
10:27:32,8.1,2872.0,129.0,129.91,0.91,33.71
10:28:17,8.1,2848.0,129.0,130.11,1.11,33.8
10:29:02,8.1,2978.0,129.0,130.3,1.3,33.89
10:29:47,8.1,3015.0,129.0,130.5,1.5,33.98
10:30:32,8.1,3056.0,129.0,130.7,1.7,34.07
10:31:17,8.1,3610.0,129.0,130.9,1.9,34.16
10:32:02,8.1,4656.0,129.0,131.09,2.09,34.25
10:32:47,8.1,4408.0,129.0,131.29,2.29,34.34
10:33:32,8.1,4644.0,129.0,131.49,2.49,34.43
10:34:17,8.1,4996.0,129.0,131.69,2.69,34.52
10:35:02,8.1,4830.0,129.0,131.89,2.89,34.61
10:35:47,8.1,4423.0,129.0,132.09,3.09,34.7
10:36:32,8.1,3804.0,129.0,132.29,3.29,34.79
10:37:17,8.1,3808.0,129.0,132.49,3.49,34.87
10:38:02,8.1,4054.0,129.0,132.69,3.69,34.96
10:38:47,8.1,5002.0,129.0,132.89,3.89,35.05
10:39:32,8.1,5333.0,129.0,133.1,4.1,35.13
10:40:17,8.1,4457.0,129.0,133.3,4.3,35.22
10:41:02,7.8,3388.0,129.0,133.5,4.5,35.31
10:41:47,8.1,4248.0,129.0,133.7,4.7,35.39
10:42:32,8.1,4420.0,129.0,133.91,4.91,35.48
10:43:17,8.1,4374.0,129.0,134.11,5.11,35.56
10:44:02,8.1,4437.0,129.0,134.31,5.31,35.65
10:44:47,8.1,4105.0,129.0,134.52,5.52,35.73
10:45:32,7.5,2217.0,129.0,134.72,5.72,35.82
10:46:17,7.5,1855.0,129.0,134.93,5.93,35.9
10:47:02,7.2,1588.0,129.0,135.14,6.14,35.99
10:47:47,7.2,1453.0,129.0,135.34,6.34,36.07
10:48:32,7.2,1282.0,129.0,135.55,6.55,36.15
10:49:18,7.2,1230.0,129.0,135.76,6.76,36.24
10:50:03,7.2,1333.0,129.0,135.97,6.97,36.32
10:50:48,7.2,1443.0,129.0,136.18,7.18,36.4
10:51:33,7.5,1636.0,129.0,136.39,7.39,36.49
10:52:18,7.5,1970.0,129.0,136.59,7.59,36.57
10:53:03,7.8,2450.0,129.0,136.8,7.8,36.65
10:53:48,7.8,2424.0,129.0,137.01,8.01,36.73
10:54:33,7.8,2133.0,129.0,137.22,8.22,36.81
10:55:18,7.8,1825.0,129.0,137.43,8.43,36.89
10:56:03,7.5,1849.0,129.0,137.64,8.64,36.97
10:56:48,7.5,1889.0,129.0,137.86,8.86,37.05
10:57:33,7.5,2048.0,129.0,138.07,9.07,37.13
10:58:18,7.5,2256.0,129.0,138.28,9.28,37.21
10:59:03,7.5,2345.0,129.0,138.49,9.49,37.29
10:59:48,7.5,2679.0,129.0,138.7,9.7,37.37
11:00:33,7.5,3352.0,129.0,138.92,9.92,37.45
11:01:18,7.8,3876.0,129.0,139.13,10.13,37.53
11:02:03,7.8,3947.0,129.0,139.35,10.35,37.6
11:02:48,7.8,3887.0,129.0,139.56,10.56,37.68
11:03:33,7.8,3546.0,129.0,139.78,10.78,37.76
11:04:18,8.7,4839.0,129.0,139.99,10.99,37.83
11:05:03,8.4,3760.0,129.0,140.21,11.21,37.91
11:05:48,8.4,4082.0,129.0,140.42,11.42,37.99
11:06:33,7.8,2856.0,129.0,140.64,11.64,38.06
11:07:18,7.8,2701.0,129.0,140.86,11.86,38.14
11:08:03,7.8,2670.0,129.0,141.07,12.07,38.21
11:08:48,8.1,2865.0,129.0,141.29,12.29,38.29
11:09:33,8.4,3734.0,129.0,141.51,12.51,38.36
11:10:18,8.4,2921.0,129.0,141.73,12.73,38.43
11:11:03,8.1,2338.0,129.0,141.95,12.95,38.51
11:11:48,8.4,3328.0,129.0,142.17,13.17,38.58
11:12:33,8.4,3377.0,129.0,142.39,13.39,38.65
