Time, Panel Voltage, Light LUX, Bearing, Solar Azimuth, Offset, Zenith
08:24:46,6.9,480.0,101.0,101.59,0.59,17.02
08:25:31,6.9,529.0,101.0,101.74,0.74,17.13
08:26:16,6.9,545.0,101.0,101.89,0.89,17.25
08:27:01,7.2,572.0,101.0,102.04,1.04,17.37
08:27:46,6.9,540.0,101.0,102.2,1.2,17.48
08:28:31,6.9,513.0,101.0,102.35,1.35,17.6
08:29:16,6.9,548.0,101.0,102.5,1.5,17.71
08:30:01,7.2,621.0,101.0,102.66,1.66,17.83
08:30:46,7.2,529.0,101.0,102.81,1.81,17.94
08:31:31,7.2,398.0,101.0,102.96,1.96,18.06
08:32:16,7.2,458.0,101.0,103.12,2.12,18.18
08:33:01,7.2,632.0,101.0,103.27,2.27,18.29
08:33:46,7.2,748.0,101.0,103.42,2.42,18.41
08:34:31,7.2,748.0,101.0,103.58,2.58,18.52
08:35:16,7.5,944.0,101.0,103.73,2.73,18.64
08:36:01,7.5,1130.0,101.0,103.89,2.89,18.75
08:36:46,7.8,1334.0,101.0,104.04,3.04,18.87
08:37:31,7.8,1388.0,101.0,104.2,3.2,18.98
08:38:16,7.8,1304.0,101.0,104.35,3.35,19.1
08:39:01,7.8,1193.0,101.0,104.51,3.51,19.21
08:39:46,7.5,1228.0,101.0,104.66,3.66,19.33
08:40:31,7.5,1278.0,101.0,104.82,3.82,19.44
08:41:16,7.5,1218.0,101.0,104.98,3.98,19.56
08:42:01,7.2,1075.0,101.0,105.13,4.13,19.67
08:42:46,7.2,996.0,101.0,105.29,4.29,19.78
08:43:31,7.2,1017.0,101.0,105.44,4.44,19.9
08:44:16,7.2,1057.0,101.0,105.6,4.6,20.01
08:45:01,7.2,942.0,101.0,105.76,4.76,20.13
08:45:46,7.2,800.0,101.0,105.91,4.91,20.24
08:46:31,6.9,651.0,101.0,106.07,5.07,20.35
08:47:16,6.9,581.0,101.0,106.23,5.23,20.47
08:48:01,6.9,591.0,101.0,106.39,5.39,20.58
08:48:46,6.9,627.0,101.0,106.54,5.54,20.7
08:49:31,6.9,757.0,101.0,106.7,5.7,20.81
08:50:16,7.2,912.0,101.0,106.86,5.86,20.92
08:51:01,7.2,926.0,101.0,107.02,6.02,21.04
08:51:46,7.2,980.0,101.0,107.18,6.18,21.15
08:52:31,7.2,1027.0,101.0,107.34,6.34,21.26
08:53:16,7.2,1072.0,101.0,107.5,6.5,21.38
08:54:01,7.2,1046.0,101.0,107.65,6.65,21.49
08:54:46,7.2,957.0,101.0,107.81,6.81,21.6
08:55:31,7.2,1165.0,101.0,107.97,6.97,21.71
08:56:16,7.5,1205.0,101.0,108.13,7.13,21.83
08:57:01,7.2,957.0,101.0,108.29,7.29,21.94
08:57:46,7.5,1084.0,101.0,108.45,7.45,22.05
08:58:31,7.5,1210.0,101.0,108.61,7.61,22.17
08:59:16,7.5,1262.0,101.0,108.77,7.77,22.28
09:00:01,7.5,1296.0,101.0,108.93,7.93,22.39
09:00:46,7.5,1378.0,101.0,109.1,8.1,22.5
09:01:31,7.5,1243.0,101.0,109.26,8.26,22.61
09:02:16,7.5,1182.0,101.0,109.42,8.42,22.73
09:03:01,7.5,1223.0,101.0,109.58,8.58,22.84
09:03:46,7.5,1364.0,101.0,109.74,8.74,22.95
09:04:31,7.2,1261.0,101.0,109.9,8.9,23.06
09:05:16,7.2,1079.0,101.0,110.07,9.07,23.17
09:06:01,7.2,904.0,101.0,110.23,9.23,23.28
09:06:46,7.2,832.0,101.0,110.39,9.39,23.4
09:07:31,7.2,833.0,101.0,110.56,9.56,23.51
09:08:16,7.5,905.0,101.0,110.72,9.72,23.62
09:09:01,7.5,1032.0,101.0,110.88,9.88,23.73
09:09:46,7.5,1048.0,101.0,111.05,10.05,23.84
09:10:31,7.8,1103.0,101.0,111.21,10.21,23.95
09:11:16,7.8,1251.0,101.0,111.37,10.37,24.06
09:12:01,7.8,1289.0,101.0,111.54,10.54,24.17
09:12:46,7.8,1296.0,101.0,111.7,10.7,24.28
09:13:31,7.8,1359.0,101.0,111.87,10.87,24.39
09:14:16,7.8,1451.0,101.0,112.03,11.03,24.5
09:15:01,7.8,1580.0,101.0,112.2,11.2,24.61
09:15:46,7.8,1752.0,101.0,112.36,11.36,24.72
