Time, Panel Voltage, Light LUX, Bearing, Solar Azimuth, Offset, Zenith
10:15:52,8.1,2924.0,125.0,124.76,-0.24,34.26
10:16:37,8.1,3042.0,125.0,124.96,-0.04,34.36
10:17:22,8.1,3043.0,125.0,125.15,0.15,34.46
10:18:07,8.1,3128.0,125.0,125.34,0.34,34.55
10:18:52,8.1,3020.0,125.0,125.53,0.53,34.65
10:19:37,7.8,2615.0,125.0,125.73,0.73,34.75
10:20:22,8.1,2918.0,125.0,125.92,0.92,34.84
10:21:07,8.1,3253.0,125.0,126.11,1.11,34.94
10:21:52,7.8,2405.0,125.0,126.31,1.31,35.03
10:22:37,7.8,2562.0,125.0,126.5,1.5,35.13
10:23:22,7.8,2485.0,125.0,126.7,1.7,35.23
10:24:07,8.1,3271.0,125.0,126.89,1.89,35.32
10:24:52,7.8,2415.0,125.0,127.09,2.09,35.42
10:25:37,7.8,2862.0,125.0,127.28,2.28,35.51
10:26:22,7.8,2038.0,125.0,127.48,2.48,35.6
10:27:07,7.8,2340.0,125.0,127.68,2.68,35.7
10:27:52,7.8,2647.0,125.0,127.87,2.87,35.79
10:28:37,8.4,3831.0,125.0,128.07,3.07,35.89
10:29:22,7.8,3052.0,125.0,128.27,3.27,35.98
10:30:07,7.8,2983.0,125.0,128.47,3.47,36.07
10:30:52,7.8,2615.0,125.0,128.67,3.67,36.17
10:31:37,8.4,3146.0,125.0,128.87,3.87,36.26
10:32:22,8.4,3777.0,125.0,129.07,4.07,36.35
10:33:07,7.8,3273.0,125.0,129.27,4.27,36.44
10:33:52,7.8,2366.0,125.0,129.47,4.47,36.53
10:34:37,8.1,2375.0,125.0,129.67,4.67,36.63
10:35:22,7.8,3027.0,125.0,129.87,4.87,36.72
10:36:07,8.1,3400.0,125.0,130.07,5.07,36.81
10:36:52,8.1,3773.0,125.0,130.28,5.28,36.9
10:37:37,8.4,4559.0,125.0,130.48,5.48,36.99
10:38:22,7.8,3078.0,125.0,130.68,5.68,37.08
