Time, Panel Voltage, Light LUX, Bearing, Solar Azimuth, Offset, Zenith
08:12:33,7.8,1266.0,99.0,98.74,-0.26,15.8
08:13:18,8.1,1268.0,99.0,98.89,-0.11,15.91
08:14:03,8.1,1270.0,99.0,99.04,0.04,16.03
08:14:48,7.8,1292.0,99.0,99.19,0.19,16.15
08:15:33,7.8,1316.0,99.0,99.34,0.34,16.26
08:16:19,8.1,1375.0,99.0,99.5,0.5,16.38
08:17:04,8.1,1449.0,99.0,99.65,0.65,16.5
08:17:49,8.1,1529.0,99.0,99.8,0.8,16.62
08:18:34,7.8,1114.0,99.0,99.95,0.95,16.73
08:19:19,8.1,1610.0,99.0,100.1,1.1,16.85
08:20:04,8.1,1637.0,99.0,100.25,1.25,16.97
08:20:49,8.1,1671.0,99.0,100.41,1.41,17.08
08:21:34,8.1,1659.0,99.0,100.56,1.56,17.2
08:22:19,8.1,1625.0,99.0,100.71,1.71,17.32
08:23:04,8.1,1565.0,99.0,100.86,1.86,17.43
08:23:49,8.1,1542.0,99.0,101.01,2.01,17.55
08:24:34,8.1,1572.0,99.0,101.17,2.17,17.66
08:25:19,7.8,1569.0,99.0,101.32,2.32,17.78
08:26:04,7.8,1551.0,99.0,101.47,2.47,17.9
08:26:49,7.8,1554.0,99.0,101.62,2.62,18.01
08:27:34,7.8,1559.0,99.0,101.78,2.78,18.13
08:28:19,7.8,1548.0,99.0,101.93,2.93,18.24
08:29:04,7.8,1595.0,99.0,102.08,3.08,18.36
08:29:49,7.8,1696.0,99.0,102.24,3.24,18.48
08:30:34,7.8,1772.0,99.0,102.39,3.39,18.59
08:31:19,7.8,1714.0,99.0,102.54,3.54,18.71
08:32:04,7.8,1617.0,99.0,102.7,3.7,18.82
08:32:49,7.8,1657.0,99.0,102.85,3.85,18.94
08:33:34,7.8,1747.0,99.0,103.01,4.01,19.05
08:34:19,7.8,1723.0,99.0,103.16,4.16,19.17
08:35:04,7.8,1686.0,99.0,103.31,4.31,19.29
08:35:49,7.8,1735.0,99.0,103.47,4.47,19.4
08:36:34,7.8,1739.0,99.0,103.62,4.62,19.52
08:37:19,7.8,1758.0,99.0,103.78,4.78,19.63
08:38:04,7.8,1843.0,99.0,103.93,4.93,19.75
08:38:49,7.8,1900.0,99.0,104.09,5.09,19.86
08:39:34,7.8,2135.0,99.0,104.25,5.25,19.98
08:40:19,8.1,2182.0,99.0,104.4,5.4,20.09
08:41:04,8.1,2104.0,99.0,104.56,5.56,20.21
08:41:49,8.1,2111.0,99.0,104.71,5.71,20.32
08:42:34,8.1,2196.0,99.0,104.87,5.87,20.44
08:43:19,8.1,2345.0,99.0,105.03,6.03,20.55
08:44:04,8.1,2324.0,99.0,105.18,6.18,20.66
08:44:49,8.1,2132.0,99.0,105.34,6.34,20.78
08:45:34,8.1,1994.0,99.0,105.5,6.5,20.89
08:46:19,8.1,2079.0,99.0,105.65,6.65,21.01
08:47:04,7.8,2300.0,99.0,105.81,6.81,21.12
08:47:49,7.8,2255.0,99.0,105.97,6.97,21.24
08:48:34,8.1,2062.0,99.0,106.13,7.13,21.35
08:49:19,8.1,1978.0,99.0,106.29,7.29,21.46
08:50:04,7.8,1649.0,99.0,106.44,7.44,21.58
08:50:49,7.5,657.0,99.0,106.6,7.6,21.69
08:51:34,7.8,2556.0,99.0,106.76,7.76,21.8
