Time, Panel Voltage, Light LUX, Bearing, Solar Azimuth, Offset, Zenith
10:22:25,7.2,1329.0,128.0,128.28,0.28,33.82
10:23:10,7.2,1283.0,128.0,128.47,0.47,33.91
10:23:55,7.2,1220.0,128.0,128.67,0.67,34.0
10:24:40,7.2,1170.0,128.0,128.86,0.86,34.1
10:25:25,7.2,1144.0,128.0,129.06,1.06,34.19
10:26:10,7.2,1136.0,128.0,129.25,1.25,34.28
10:26:55,7.2,1061.0,128.0,129.45,1.45,34.37
10:27:40,7.2,948.0,128.0,129.65,1.65,34.46
10:28:25,6.9,805.0,128.0,129.85,1.85,34.55
10:29:10,6.9,690.0,128.0,130.04,2.04,34.65
10:29:55,6.9,680.0,128.0,130.24,2.24,34.74
10:30:40,6.9,685.0,128.0,130.44,2.44,34.83
10:31:25,6.9,769.0,128.0,130.64,2.64,34.92
10:32:10,6.9,846.0,128.0,130.84,2.84,35.01
10:32:55,6.9,857.0,128.0,131.04,3.04,35.1
10:33:40,6.9,801.0,128.0,131.24,3.24,35.19
10:34:25,6.9,722.0,128.0,131.44,3.44,35.28
10:35:10,6.9,659.0,128.0,131.64,3.64,35.36
10:35:55,6.9,733.0,128.0,131.84,3.84,35.45
10:36:40,6.9,863.0,128.0,132.04,4.04,35.54
10:37:25,6.9,906.0,128.0,132.24,4.24,35.63
10:38:10,6.9,931.0,128.0,132.45,4.45,35.72
10:38:55,6.9,913.0,128.0,132.65,4.65,35.8
10:39:40,6.9,852.0,128.0,132.85,4.85,35.89
10:40:25,6.9,844.0,128.0,133.06,5.06,35.98
10:41:10,6.9,802.0,128.0,133.26,5.26,36.07
10:41:55,6.9,725.0,128.0,133.46,5.46,36.15
10:42:40,6.9,709.0,128.0,133.67,5.67,36.24
10:43:25,6.9,717.0,128.0,133.87,5.87,36.32
10:44:10,6.9,653.0,128.0,134.08,6.08,36.41
10:44:55,6.9,630.0,128.0,134.29,6.29,36.49
10:45:40,6.6,626.0,128.0,134.49,6.49,36.58
10:46:25,6.6,600.0,128.0,134.7,6.7,36.66
10:47:10,6.6,634.0,128.0,134.91,6.91,36.75
10:47:55,6.6,665.0,128.0,135.11,7.11,36.83
10:48:40,6.6,609.0,128.0,135.32,7.32,36.92
10:49:25,6.6,553.0,128.0,135.53,7.53,37.0
10:50:10,6.6,532.0,128.0,135.74,7.74,37.08
10:50:55,6.6,505.0,128.0,135.95,7.95,37.17
10:51:40,6.6,491.0,128.0,136.16,8.16,37.25
10:52:25,6.6,483.0,128.0,136.37,8.37,37.33
10:53:10,6.6,484.0,128.0,136.58,8.58,37.41
10:53:55,6.6,511.0,128.0,136.79,8.79,37.49
10:54:40,6.6,510.0,128.0,137.0,9.0,37.57
10:55:25,6.9,611.0,128.0,137.22,9.22,37.66
10:56:10,6.9,704.0,128.0,137.43,9.43,37.74
10:56:55,6.9,780.0,128.0,137.64,9.64,37.82
10:57:40,6.9,889.0,128.0,137.86,9.86,37.9
10:58:25,6.9,966.0,128.0,138.07,10.07,37.98
10:59:10,6.9,959.0,128.0,138.28,10.28,38.05
10:59:55,6.9,952.0,128.0,138.5,10.5,38.13
11:00:40,6.9,885.0,128.0,138.71,10.71,38.21
11:01:25,6.9,833.0,128.0,138.93,10.93,38.29
11:02:10,6.9,763.0,128.0,139.14,11.14,38.37
11:02:55,6.6,667.0,128.0,139.36,11.36,38.45
11:03:40,6.6,656.0,128.0,139.58,11.58,38.52
11:04:25,6.6,598.0,128.0,139.79,11.79,38.6
11:05:10,6.6,521.0,128.0,140.01,12.01,38.68
11:05:55,6.3,551.0,128.0,140.23,12.23,38.75
11:06:40,6.3,505.0,128.0,140.45,12.45,38.83
11:07:25,6.6,527.0,128.0,140.67,12.67,38.9
11:08:10,6.6,601.0,128.0,140.89,12.89,38.98
11:08:55,6.6,690.0,128.0,141.11,13.11,39.05
11:09:40,6.6,781.0,128.0,141.33,13.33,39.13
11:10:25,6.6,832.0,128.0,141.55,13.55,39.2
11:11:10,6.6,751.0,128.0,141.77,13.77,39.28
11:11:55,6.6,672.0,128.0,141.99,13.99,39.35
11:12:40,6.6,625.0,128.0,142.21,14.21,39.42
11:13:25,6.6,634.0,128.0,142.43,14.43,39.5
11:14:10,6.6,638.0,128.0,142.66,14.66,39.57
11:14:55,6.6,647.0,128.0,142.88,14.88,39.64
11:15:40,6.6,614.0,128.0,143.1,15.1,39.71
11:16:25,6.6,630.0,128.0,143.33,15.33,39.78
11:17:10,6.3,496.0,128.0,143.55,15.55,39.85
11:17:55,6.6,584.0,128.0,143.78,15.78,39.92
11:18:40,6.6,640.0,128.0,144.0,16.0,39.99
11:19:25,6.6,626.0,128.0,144.23,16.23,40.06
11:20:10,6.6,555.0,128.0,144.46,16.46,40.13
11:20:55,6.6,611.0,128.0,144.68,16.68,40.2
11:21:40,6.6,656.0,128.0,144.91,16.91,40.27
11:22:25,6.6,632.0,128.0,145.14,17.14,40.34
11:23:10,6.6,678.0,128.0,145.36,17.36,40.41
11:23:55,6.6,699.0,128.0,145.59,17.59,40.47
11:24:40,6.9,772.0,128.0,145.82,17.82,40.54
11:25:25,6.9,822.0,128.0,146.05,18.05,40.61
11:26:10,6.9,869.0,128.0,146.28,18.28,40.67
11:26:55,6.9,849.0,128.0,146.51,18.51,40.74
11:27:40,6.9,821.0,128.0,146.74,18.74,40.8
