Time, Panel Voltage, Light LUX, Bearing, Solar Azimuth, Offset, Zenith
13:04:00,22.35,3641.0,179.0,178.93,-0.07,50.43
13:04:02,22.38,3633.0,178.0,178.94,0.94,50.43
13:04:04,22.35,4590.0,177.0,178.95,1.95,50.43
13:04:06,22.38,3625.0,176.0,178.96,2.96,50.43
13:04:08,22.35,4089.0,175.0,178.98,3.98,50.43
13:04:09,22.38,3625.0,174.0,178.98,4.98,50.43
13:04:11,22.38,3589.0,173.0,179.0,6.0,50.43
13:04:13,22.38,3604.0,172.0,179.01,7.01,50.43
13:04:15,22.41,3606.0,171.0,179.02,8.02,50.43
13:04:17,22.41,3615.0,170.0,179.04,9.04,50.43
13:04:18,22.41,3599.0,169.0,179.04,10.04,50.43
13:04:20,22.41,3596.0,168.0,179.05,11.05,50.43
13:04:22,22.44,3442.0,167.0,179.07,12.07,50.43
13:04:24,22.44,3514.0,166.0,179.08,13.08,50.43
13:04:26,22.44,3570.0,165.0,179.09,14.09,50.43
13:04:28,22.44,3592.0,164.0,179.11,15.11,50.43
13:04:29,22.44,3649.0,163.0,179.11,16.11,50.43
13:04:32,22.44,2318.0,162.0,179.13,17.13,50.43
13:04:34,22.47,3561.0,161.0,179.14,18.14,50.43
13:04:35,22.47,3564.0,160.0,179.15,19.15,50.43
13:04:37,22.44,2876.0,159.0,179.16,20.16,50.43
13:04:39,22.47,3683.0,158.0,179.18,21.18,50.43
13:04:41,22.47,2696.0,157.0,179.19,22.19,50.43
13:04:43,22.47,3635.0,156.0,179.2,23.2,50.43
13:04:45,22.47,3653.0,155.0,179.21,24.21,50.43
13:04:47,22.47,3927.0,154.0,179.23,25.23,50.43
13:04:49,22.5,3426.0,153.0,179.24,26.24,50.43
13:04:51,22.5,3557.0,152.0,179.25,27.25,50.43
13:04:53,22.5,3545.0,151.0,179.27,28.27,50.43
13:04:54,22.5,3551.0,150.0,179.27,29.27,50.43
13:04:56,22.5,3566.0,149.0,179.29,30.29,50.43
13:04:58,22.5,3549.0,148.0,179.3,31.3,50.43
13:05:00,22.5,3549.0,147.0,179.31,32.31,50.43
13:05:02,22.53,3625.0,146.0,179.32,33.32,50.43
13:05:04,22.53,3621.0,145.0,179.34,34.34,50.43
13:05:06,22.53,3608.0,144.0,179.35,35.35,50.43
13:05:08,22.53,3608.0,143.0,179.36,36.36,50.43
13:05:10,22.53,3600.0,142.0,179.38,37.38,50.43
13:05:11,22.53,3623.0,141.0,179.38,38.38,50.43
13:05:13,22.53,3618.0,140.0,179.39,39.39,50.43
13:05:15,22.53,3620.0,139.0,179.41,40.41,50.43
13:05:17,22.53,3615.0,138.0,179.42,41.42,50.43
13:05:19,22.53,3585.0,137.0,179.43,42.43,50.43
13:05:20,22.53,3583.0,136.0,179.44,43.44,50.43
13:05:22,22.53,3580.0,135.0,179.45,44.45,50.43
13:05:24,22.53,3623.0,134.0,179.47,45.47,50.43
13:05:26,22.53,3612.0,133.0,179.48,46.48,50.43
13:05:28,22.56,3602.0,132.0,179.49,47.49,50.43
13:05:30,22.53,3575.0,131.0,179.5,48.5,50.43
13:05:32,22.56,3591.0,130.0,179.52,49.52,50.43
13:05:34,22.56,3611.0,129.0,179.53,50.53,50.43
13:05:35,22.56,3621.0,128.0,179.54,51.54,50.43
13:05:37,22.56,3615.0,127.0,179.55,52.55,50.43
13:05:39,22.56,3621.0,126.0,179.56,53.56,50.43
13:05:41,22.56,3615.0,125.0,179.57,54.57,50.43
13:05:43,22.56,3627.0,124.0,179.59,55.59,50.43
13:05:45,22.56,3629.0,123.0,179.6,56.6,50.43
13:05:47,22.56,3615.0,122.0,179.61,57.61,50.43
13:05:49,22.56,3621.0,121.0,179.63,58.63,50.43
13:05:51,22.56,3621.0,120.0,179.64,59.64,50.43
13:05:53,22.56,3618.0,119.0,179.65,60.65,50.43
13:05:55,22.56,3596.0,118.0,179.66,61.66,50.43
13:05:57,22.56,3623.0,117.0,179.68,62.68,50.43
13:05:59,22.56,3629.0,116.0,179.69,63.69,50.43
13:06:00,22.56,3625.0,115.0,179.7,64.7,50.43
