Time, Panel Voltage, Light LUX, Bearing, Solar Azimuth, Offset, Zenith
11:25:32,7.2,1671.0,146.0,145.72,-0.28,42.12
11:26:17,7.2,1475.0,146.0,145.95,-0.05,42.19
11:27:02,7.2,1307.0,146.0,146.19,0.19,42.25
11:27:47,7.2,1305.0,146.0,146.42,0.42,42.32
11:28:32,7.2,1666.0,146.0,146.66,0.66,42.39
11:29:17,7.2,1626.0,146.0,146.89,0.89,42.45
11:30:02,7.2,1553.0,146.0,147.13,1.13,42.52
11:30:47,7.2,1471.0,146.0,147.36,1.36,42.58
11:31:32,7.2,1506.0,146.0,147.6,1.6,42.64
11:32:17,7.2,1676.0,146.0,147.84,1.84,42.71
11:33:02,7.2,1691.0,146.0,148.08,2.08,42.77
11:33:47,7.2,1592.0,146.0,148.32,2.32,42.83
11:34:32,7.2,1481.0,146.0,148.55,2.55,42.9
11:35:17,7.2,1287.0,146.0,148.79,2.79,42.96
11:36:02,7.2,1000.0,146.0,149.03,3.03,43.02
11:36:47,7.2,1021.0,146.0,149.27,3.27,43.08
11:37:32,7.2,1280.0,146.0,149.51,3.51,43.14
11:38:17,7.2,1549.0,146.0,149.76,3.76,43.2
11:39:02,7.5,2185.0,146.0,150.0,4.0,43.26
11:39:47,7.5,2559.0,146.0,150.24,4.24,43.32
11:40:32,7.5,2529.0,146.0,150.48,4.48,43.38
11:41:17,7.5,2232.0,146.0,150.72,4.72,43.44
11:42:02,7.5,2072.0,146.0,150.97,4.97,43.49
11:42:47,7.5,2210.0,146.0,151.21,5.21,43.55
11:43:32,7.5,2335.0,146.0,151.46,5.46,43.61
11:44:17,7.5,1922.0,146.0,151.7,5.7,43.67
11:45:02,7.5,1617.0,146.0,151.94,5.94,43.72
11:45:47,7.5,1569.0,146.0,152.19,6.19,43.78
11:46:32,7.2,1654.0,146.0,152.44,6.44,43.83
11:47:17,7.2,1549.0,146.0,152.68,6.68,43.89
11:48:02,7.2,1247.0,146.0,152.93,6.93,43.94
11:48:47,7.2,985.0,146.0,153.18,7.18,44.0
11:49:32,7.2,901.0,146.0,153.42,7.42,44.05
11:50:17,7.2,975.0,146.0,153.67,7.67,44.1
11:51:02,7.2,1109.0,146.0,153.92,7.92,44.16
11:51:47,7.2,1346.0,146.0,154.17,8.17,44.21
11:52:32,7.2,1352.0,146.0,154.42,8.42,44.26
11:53:17,7.2,1557.0,146.0,154.67,8.67,44.31
11:54:02,7.2,1676.0,146.0,154.92,8.92,44.36
11:54:47,7.2,1714.0,146.0,155.17,9.17,44.41
11:55:32,7.2,1567.0,146.0,155.42,9.42,44.46
11:56:17,7.2,1586.0,146.0,155.67,9.67,44.51
11:57:02,7.2,1525.0,146.0,155.92,9.92,44.56
11:57:47,7.2,1375.0,146.0,156.17,10.17,44.61
11:58:32,7.2,1309.0,146.0,156.43,10.43,44.65
11:59:17,7.2,1406.0,146.0,156.68,10.68,44.7
