Time, Panel Voltage, Light LUX, Bearing, Solar Azimuth, Offset, Zenith
12:44:24,6.9,1404.0,172.0,172.47,0.47,46.62
12:45:09,6.9,1575.0,172.0,172.74,0.74,46.63
12:45:54,6.9,1552.0,172.0,173.01,1.01,46.65
12:46:39,6.9,1493.0,172.0,173.28,1.28,46.66
12:47:24,6.9,935.0,172.0,173.55,1.55,46.67
12:48:09,6.6,781.0,172.0,173.82,1.82,46.69
12:48:54,6.6,727.0,172.0,174.09,2.09,46.7
12:49:39,6.6,821.0,172.0,174.36,2.36,46.71
12:50:24,6.6,836.0,172.0,174.63,2.63,46.72
12:51:09,6.3,664.0,172.0,174.9,2.9,46.73
12:51:54,6.3,719.0,172.0,175.17,3.17,46.75
12:52:39,6.3,791.0,172.0,175.44,3.44,46.75
12:53:24,6.3,819.0,172.0,175.71,3.71,46.76
12:54:09,6.3,909.0,172.0,175.98,3.98,46.77
12:54:54,6.3,874.0,172.0,176.25,4.25,46.78
12:55:39,6.3,768.0,172.0,176.52,4.52,46.79
12:56:24,6.3,718.0,172.0,176.8,4.8,46.8
12:57:09,6.3,713.0,172.0,177.07,5.07,46.8
12:57:54,6.3,666.0,172.0,177.34,5.34,46.81
12:58:39,6.3,686.0,172.0,177.61,5.61,46.81
12:59:24,6.3,679.0,172.0,177.88,5.88,46.82
13:00:09,6.3,693.0,172.0,178.15,6.15,46.82
13:00:54,6.3,709.0,172.0,178.42,6.42,46.83
13:01:39,6.3,752.0,172.0,178.7,6.7,46.83
13:02:24,6.3,874.0,172.0,178.97,6.97,46.83
13:03:09,6.3,959.0,172.0,179.24,7.24,46.83
13:03:54,6.6,1008.0,172.0,179.51,7.51,46.84
13:04:39,6.6,927.0,172.0,179.78,7.78,46.84
13:05:24,6.3,805.0,172.0,180.05,8.05,46.84
13:06:09,6.3,735.0,172.0,180.33,8.33,46.84
13:06:54,6.3,652.0,172.0,180.6,8.6,46.84
13:07:39,6.3,682.0,172.0,180.87,8.87,46.84
13:08:24,6.3,694.0,172.0,181.14,9.14,46.83
13:09:09,6.3,754.0,172.0,181.41,9.41,46.83
13:09:54,6.3,681.0,172.0,181.68,9.68,46.83
13:10:39,6.3,624.0,172.0,181.96,9.96,46.82
13:11:24,6.3,678.0,172.0,182.23,10.23,46.82
13:12:09,6.3,673.0,172.0,182.5,10.5,46.82
13:12:54,6.3,719.0,172.0,182.77,10.77,46.81
13:13:39,6.3,771.0,172.0,183.04,11.04,46.8
13:14:24,6.3,794.0,172.0,183.31,11.31,46.8
13:15:09,6.6,786.0,172.0,183.58,11.58,46.79
13:15:54,6.6,794.0,172.0,183.86,11.86,46.78
13:16:39,6.6,935.0,172.0,184.13,12.13,46.78
13:17:24,6.6,1086.0,172.0,184.4,12.4,46.77
13:18:09,6.6,1151.0,172.0,184.67,12.67,46.76
13:18:54,6.6,1149.0,172.0,184.94,12.94,46.75
13:19:39,6.6,980.0,172.0,185.21,13.21,46.74
13:20:24,6.6,998.0,172.0,185.48,13.48,46.73
13:21:09,6.6,900.0,172.0,185.75,13.75,46.72
13:21:54,6.3,765.0,172.0,186.02,14.02,46.7
13:22:39,6.3,693.0,172.0,186.29,14.29,46.69
13:23:24,6.3,678.0,172.0,186.56,14.56,46.68
13:24:09,6.3,714.0,172.0,186.83,14.83,46.66
13:24:54,6.3,656.0,172.0,187.1,15.1,46.65
13:25:39,6.3,562.0,172.0,187.37,15.37,46.64
13:26:24,6.3,718.0,172.0,187.64,15.64,46.62
13:27:09,6.3,657.0,172.0,187.91,15.91,46.6
13:27:54,6.3,565.0,172.0,188.18,16.18,46.59
13:28:39,6.0,579.0,172.0,188.45,16.45,46.57
13:29:24,6.0,557.0,172.0,188.72,16.72,46.55
13:30:09,6.0,642.0,172.0,188.99,16.99,46.54
13:30:54,6.0,569.0,172.0,189.26,17.26,46.52
13:31:39,6.0,558.0,172.0,189.53,17.53,46.5
13:32:24,6.0,642.0,172.0,189.79,17.79,46.48
13:33:09,6.3,627.0,172.0,190.06,18.06,46.46
13:33:54,6.0,624.0,172.0,190.33,18.33,46.44
13:34:39,6.0,591.0,172.0,190.6,18.6,46.42
13:35:24,6.0,634.0,172.0,190.87,18.87,46.39
13:36:09,6.0,535.0,172.0,191.13,19.13,46.37
13:36:54,6.0,448.0,172.0,191.4,19.4,46.35
13:37:39,5.7,441.0,172.0,191.67,19.67,46.32
13:38:24,5.7,423.0,172.0,191.93,19.93,46.3
13:39:09,5.7,469.0,172.0,192.2,20.2,46.28
13:39:54,5.7,445.0,172.0,192.47,20.47,46.25
13:40:39,6.0,442.0,172.0,192.73,20.73,46.23
13:41:24,6.0,578.0,172.0,193.0,21.0,46.2
13:42:09,6.0,608.0,172.0,193.26,21.26,46.17
13:42:54,6.0,576.0,172.0,193.53,21.53,46.14
13:43:39,6.0,609.0,172.0,193.8,21.8,46.12
13:44:24,6.3,730.0,172.0,194.06,22.06,46.09
13:45:09,6.0,532.0,172.0,194.32,22.32,46.06
13:45:54,6.0,545.0,172.0,194.59,22.59,46.03
13:46:39,6.0,520.0,172.0,194.85,22.85,46.0
13:47:24,6.0,511.0,172.0,195.12,23.12,45.97
13:48:09,6.0,572.0,172.0,195.38,23.38,45.94
13:48:54,6.0,633.0,172.0,195.64,23.64,45.91
13:49:39,6.0,580.0,172.0,195.91,23.91,45.88
13:50:24,6.0,557.0,172.0,196.17,24.17,45.84
13:51:09,6.0,485.0,172.0,196.43,24.43,45.81
13:51:54,6.0,501.0,172.0,196.69,24.69,45.78
13:52:39,6.0,545.0,172.0,196.96,24.96,45.74
13:53:24,6.0,585.0,172.0,197.22,25.22,45.71
13:54:09,6.0,616.0,172.0,197.48,25.48,45.67
13:54:54,6.0,562.0,172.0,197.74,25.74,45.64
13:55:39,6.0,510.0,172.0,198.0,26.0,45.6
13:56:24,6.0,697.0,172.0,198.26,26.26,45.56
13:57:09,6.3,893.0,172.0,198.52,26.52,45.53
13:57:54,6.3,920.0,172.0,198.78,26.78,45.49
13:58:39,6.6,998.0,172.0,199.04,27.04,45.45
13:59:24,6.6,1016.0,172.0,199.3,27.3,45.41
14:00:09,6.6,1031.0,172.0,199.56,27.56,45.37
14:00:54,6.6,951.0,172.0,199.82,27.82,45.33
14:01:39,6.6,923.0,172.0,200.07,28.07,45.29
14:02:24,6.6,813.0,172.0,200.33,28.33,45.25
14:03:09,6.6,1002.0,172.0,200.59,28.59,45.21
14:03:54,6.6,965.0,172.0,200.85,28.85,45.17
14:04:39,6.3,795.0,172.0,201.1,29.1,45.13
14:05:24,6.3,843.0,172.0,201.36,29.36,45.08
14:06:09,6.3,753.0,172.0,201.61,29.61,45.04
14:06:54,6.3,880.0,172.0,201.87,29.87,45.0
14:07:39,6.3,905.0,172.0,202.12,30.12,44.95
14:08:24,6.3,930.0,172.0,202.38,30.38,44.91
14:09:09,6.3,815.0,172.0,202.63,30.63,44.86
14:09:54,6.3,724.0,172.0,202.89,30.89,44.82
14:10:39,6.3,797.0,172.0,203.14,31.14,44.77
14:11:24,6.3,858.0,172.0,203.39,31.39,44.72
14:12:09,6.3,768.0,172.0,203.65,31.65,44.68
14:12:54,6.3,668.0,172.0,203.9,31.9,44.63
14:13:39,6.3,671.0,172.0,204.15,32.15,44.58
14:14:24,6.3,714.0,172.0,204.4,32.4,44.53
14:15:09,6.0,614.0,172.0,204.66,32.66,44.48
14:15:54,6.0,516.0,172.0,204.91,32.91,44.43
14:16:39,6.0,602.0,172.0,205.16,33.16,44.38
14:17:24,6.0,597.0,172.0,205.41,33.41,44.33
