Time, Panel Voltage, Light LUX, Bearing, Solar Azimuth, Offset, Zenith
07:45:54,7.2,557.0,94.0,93.85,-0.15,10.95
07:46:39,7.5,692.0,94.0,94.0,0.0,11.07
07:47:24,7.2,666.0,94.0,94.15,0.15,11.19
07:48:09,7.5,664.0,94.0,94.29,0.29,11.3
07:48:54,7.5,760.0,94.0,94.44,0.44,11.42
07:49:39,7.5,763.0,94.0,94.59,0.59,11.54
07:50:24,8.4,1033.0,94.0,94.74,0.74,11.66
07:51:09,8.4,864.0,94.0,94.88,0.88,11.77
07:51:54,7.8,557.0,94.0,95.03,1.03,11.89
07:52:39,7.2,534.0,94.0,95.18,1.18,12.01
07:53:24,6.9,530.0,94.0,95.32,1.32,12.13
07:54:09,6.9,513.0,94.0,95.47,1.47,12.24
07:54:54,6.9,691.0,94.0,95.62,1.62,12.36
07:55:39,6.9,664.0,94.0,95.77,1.77,12.48
07:56:24,6.9,611.0,94.0,95.91,1.91,12.6
07:57:09,6.9,527.0,94.0,96.06,2.06,12.71
07:57:54,6.9,547.0,94.0,96.21,2.21,12.83
07:58:44,6.9,466.0,94.0,96.38,2.38,12.96
07:59:29,6.9,463.0,94.0,96.52,2.52,13.08
08:01:10,6.9,463.0,94.0,96.86,2.86,13.34
08:02:51,6.9,463.0,94.0,97.19,3.19,13.61
08:04:31,6.9,463.0,94.0,97.52,3.52,13.87
08:05:16,6.9,463.0,94.0,97.67,3.67,13.99
08:06:49,6.9,463.0,94.0,97.98,3.98,14.23
08:07:51,6.9,463.0,94.0,98.18,4.18,14.39
08:08:48,6.9,463.0,94.0,98.37,4.37,14.54
08:09:45,6.9,463.0,94.0,98.56,4.56,14.69
08:10:42,6.9,463.0,94.0,98.75,4.75,14.83
08:11:38,6.9,463.0,94.0,98.94,4.94,14.98
08:12:35,6.9,463.0,94.0,99.13,5.13,15.13
08:13:32,6.9,463.0,94.0,99.32,5.32,15.27
08:14:28,6.9,463.0,94.0,99.51,5.51,15.42
08:15:13,6.9,463.0,94.0,99.66,5.66,15.54
08:16:10,6.9,463.0,94.0,99.85,5.85,15.68
08:17:07,6.9,463.0,94.0,100.04,6.04,15.83
08:18:03,6.9,463.0,94.0,100.23,6.23,15.98
08:19:00,6.9,463.0,94.0,100.42,6.42,16.12
08:19:57,6.9,463.0,94.0,100.61,6.61,16.27
08:20:54,6.9,463.0,94.0,100.8,6.8,16.42
08:21:48,6.6,475.0,94.0,100.98,6.98,16.56
08:22:33,6.6,493.0,94.0,101.14,7.14,16.68
08:23:19,6.6,464.0,94.0,101.29,7.29,16.79
