Time, Panel Voltage, Light LUX, Bearing, Solar Azimuth, Offset, Zenith
12:02:16,23.13,22014,156,155.83,-0.17,48.27
12:02:18,23.16,22306,155,155.84,0.84,48.27
12:02:19,23.16,22559,154,155.85,1.85,48.27
12:02:22,23.16,22822,153,155.86,2.86,48.28
12:02:24,23.16,23165,152,155.88,3.88,48.28
12:02:26,23.16,23599,151,155.89,4.89,48.28
12:02:27,23.16,23978,150,155.89,5.89,48.28
12:02:29,23.19,24479,149,155.91,6.91,48.28
12:02:31,23.19,24962,148,155.92,7.92,48.29
12:02:33,23.19,25279,147,155.93,8.93,48.29
12:02:35,23.19,25474,146,155.94,9.94,48.29
12:02:37,23.19,25711,145,155.95,10.95,48.29
12:02:39,23.22,26156,144,155.97,11.97,48.29
12:02:41,23.22,26521,143,155.98,12.98,48.3
12:02:43,23.22,26735,142,155.99,13.99,48.3
12:02:45,23.22,26827,141,156,15,48.3
12:02:47,23.22,26939,140,156.01,16.01,48.3
12:02:48,23.22,27005,139,156.02,17.02,48.3
12:02:50,23.22,27133,138,156.03,18.03,48.31
12:02:53,23.22,27286,137,156.05,19.05,48.31
12:02:54,23.22,27340,136,156.05,20.05,48.31
12:02:56,23.22,27707,135,156.07,21.07,48.31
12:02:58,23.25,28096,134,156.08,22.08,48.31
12:03:00,23.25,28685,133,156.09,23.09,48.32
12:03:02,23.25,29494,132,156.1,24.1,48.32
12:03:03,23.25,30021,131,156.11,25.11,48.32
12:03:05,23.25,30514,130,156.12,26.12,48.32
12:03:07,23.25,30630,129,156.13,27.13,48.32
12:03:09,23.25,30537,128,156.14,28.14,48.33
12:03:11,23.25,30308,127,156.16,29.16,48.33
12:03:13,23.25,30064,126,156.17,30.17,48.33
12:03:14,23.25,29958,125,156.17,31.17,48.33
12:03:16,23.25,29792,124,156.19,32.19,48.33
12:03:18,23.25,29571,123,156.2,33.2,48.34
12:03:20,23.25,29262,122,156.21,34.21,48.34
12:03:22,23.22,29072,121,156.22,35.22,48.34
12:03:24,23.22,29084,120,156.23,36.23,48.34
12:03:26,23.22,28922,119,156.24,37.24,48.34
12:03:28,23.22,28823,118,156.26,38.26,48.35
12:03:29,23.22,28693,117,156.26,39.26,48.35
12:03:31,23.22,28819,116,156.27,40.27,48.35
12:03:33,23.22,29009,115,156.29,41.29,48.35
12:03:35,23.22,29533,114,156.3,42.3,48.35
12:03:37,23.22,30338,113,156.31,43.31,48.36
12:03:38,23.22,30847,112,156.32,44.32,48.36
12:03:40,23.25,31587,111,156.33,45.33,48.36
12:03:42,23.25,32113,110,156.34,46.34,48.36
12:03:44,23.25,32492,109,156.35,47.35,48.36
12:03:46,23.25,32732,108,156.36,48.36,48.37
12:03:49,23.25,32732,107,156.38,49.38,48.37
12:03:51,23.25,32732,106,156.39,50.39,48.37
12:03:53,23.25,32732,105,156.4,51.4,48.37
12:03:54,23.25,32732,104,156.41,52.41,48.37
12:03:56,23.22,32732,103,156.42,53.42,48.38
12:03:58,23.22,32732,102,156.43,54.43,48.38
12:04:00,23.22,32732,101,156.45,55.45,48.38
12:04:02,23.22,32524,100,156.46,56.46,48.38
12:04:04,23.19,32060,99,156.47,57.47,48.39
12:04:05,23.19,31803,98,156.48,58.48,48.39
12:04:07,23.19,31652,97,156.49,59.49,48.39
12:04:09,23.19,31632,96,156.5,60.5,48.39
12:04:11,23.19,31684,95,156.51,61.51,48.39
12:04:13,23.19,31498,94,156.52,62.52,48.39
12:04:14,23.16,31132,93,156.53,63.53,48.4
12:04:16,23.16,30430,92,156.54,64.54,48.4
12:04:19,23.16,29484,91,156.56,65.56,48.4
12:04:20,23.13,28883,90,156.57,66.57,48.4
12:04:22,23.13,27979,89,156.58,67.58,48.4
12:04:24,23.1,27345,88,156.59,68.59,48.41
12:04:26,23.1,26921,87,156.6,69.6,48.41
12:04:28,23.1,26412,86,156.61,70.61,48.41
12:04:30,23.07,25873,85,156.62,71.62,48.41
12:04:32,23.07,25269,84,156.64,72.64,48.41
12:04:34,23.07,24514,83,156.65,73.65,48.42
12:04:36,23.04,23714,82,156.66,74.66,48.42
12:04:38,23.04,22999,81,156.67,75.67,48.42
12:04:40,23.01,22588,80,156.68,76.68,48.42
12:04:41,23.01,22463,79,156.69,77.69,48.42
12:04:43,23.01,22647,78,156.7,78.7,48.43
12:04:45,23.01,23150,77,156.71,79.71,48.43
12:04:47,23.01,23633,76,156.73,80.73,48.43
12:04:49,23.01,24140,75,156.74,81.74,48.43
12:04:51,23.01,24370,74,156.75,82.75,48.43
12:04:53,23.01,24270,73,156.76,83.76,48.44
12:04:55,22.98,23787,72,156.77,84.77,48.44
12:04:56,22.98,23471,71,156.78,85.78,48.44
12:04:58,22.95,22839,70,156.79,86.79,48.44
12:05:00,22.92,22384,69,156.8,87.8,48.44
12:05:02,22.92,22202,68,156.82,88.82,48.45
12:05:04,22.92,21939,67,156.83,89.83,48.45
12:05:06,22.92,21818,66,156.84,90.84,48.45
12:05:07,22.92,21914,65,156.85,91.85,48.45
12:05:09,22.89,22020,64,156.86,92.86,48.45
12:05:11,22.89,22201,63,156.87,93.87,48.46
12:05:13,22.89,22418,62,156.88,94.88,48.46
12:05:15,22.89,22567,61,156.89,95.89,48.46
12:05:17,22.86,22715,60,156.9,96.9,48.46
12:05:19,22.89,22799,59,156.92,97.92,48.46
12:05:21,22.86,22755,58,156.93,98.93,48.47
12:05:22,22.86,22582,57,156.93,99.93,48.47
12:05:24,22.83,22261,56,156.95,100.95,48.47
12:05:26,22.83,21898,55,156.96,101.96,48.47
12:05:28,22.83,21676,54,156.97,102.97,48.47
12:05:30,22.8,21567,53,156.98,103.98,48.47
12:05:31,22.8,21617,52,156.99,104.99,48.48
12:05:33,22.8,21860,51,157,106,48.48
12:05:35,22.8,22138,50,157.01,107.01,48.48
12:05:37,22.8,22355,49,157.02,108.02,48.48
12:05:39,22.77,22556,48,157.04,109.04,48.48
12:05:41,22.77,22620,47,157.05,110.05,48.49
12:05:43,22.74,22453,46,157.06,111.06,48.49
12:05:45,22.74,22203,45,157.07,112.07,48.49
12:05:46,22.74,21966,44,157.08,113.08,48.49
12:05:48,22.71,21864,43,157.09,114.09,48.49
12:05:50,22.71,21896,42,157.1,115.1,48.5
12:05:52,22.71,22029,41,157.11,116.11,48.5
12:05:54,22.68,22267,40,157.13,117.13,48.5
12:05:56,22.68,22395,39,157.14,118.14,48.5
