Time, Panel Voltage, Light LUX, Bearing, Solar Azimuth, Offset, Zenith
09:17:25,7.8,2077.0,113.0,112.73,-0.27,24.96
09:18:10,7.8,1805.0,113.0,112.9,-0.1,25.07
09:18:55,7.8,1619.0,113.0,113.06,0.06,25.18
09:19:40,7.8,1623.0,113.0,113.23,0.23,25.29
09:20:25,7.8,1838.0,113.0,113.4,0.4,25.4
09:21:10,7.8,2016.0,113.0,113.57,0.57,25.51
09:21:55,8.1,1904.0,113.0,113.73,0.73,25.62
09:22:40,8.1,2030.0,113.0,113.9,0.9,25.72
09:23:25,8.7,3100.0,113.0,114.07,1.07,25.83
09:24:10,8.4,3089.0,113.0,114.24,1.24,25.94
09:24:55,8.1,2884.0,113.0,114.41,1.41,26.05
09:25:40,8.1,2640.0,113.0,114.58,1.58,26.16
09:26:25,8.1,2403.0,113.0,114.75,1.75,26.27
09:27:10,8.1,2185.0,113.0,114.92,1.92,26.37
09:27:55,8.1,2174.0,113.0,115.09,2.09,26.48
09:28:40,8.1,2405.0,113.0,115.26,2.26,26.59
09:29:25,8.1,2341.0,113.0,115.43,2.43,26.69
09:30:10,8.1,2269.0,113.0,115.6,2.6,26.8
09:30:55,8.1,2436.0,113.0,115.77,2.77,26.91
09:31:40,8.1,2402.0,113.0,115.94,2.94,27.02
09:32:25,8.1,2519.0,113.0,116.11,3.11,27.12
09:33:10,8.1,2513.0,113.0,116.28,3.28,27.23
09:33:55,8.1,2518.0,113.0,116.46,3.46,27.34
09:34:40,8.1,2498.0,113.0,116.63,3.63,27.44
09:35:25,8.1,2471.0,113.0,116.8,3.8,27.55
09:36:10,8.1,2486.0,113.0,116.97,3.97,27.65
09:36:55,8.1,2441.0,113.0,117.15,4.15,27.76
09:37:40,8.1,2402.0,113.0,117.32,4.32,27.86
09:38:25,8.1,2258.0,113.0,117.5,4.5,27.97
09:39:10,8.1,2263.0,113.0,117.67,4.67,28.08
09:39:55,8.1,2360.0,113.0,117.84,4.84,28.18
09:40:40,8.1,2309.0,113.0,118.02,5.02,28.28
09:41:25,8.1,2137.0,113.0,118.19,5.19,28.39
09:42:10,8.1,1886.0,113.0,118.37,5.37,28.49
09:42:55,8.4,2004.0,113.0,118.55,5.55,28.6
09:43:40,8.1,2042.0,113.0,118.72,5.72,28.7
09:44:25,8.4,2242.0,113.0,118.9,5.9,28.81
09:45:10,8.4,2240.0,113.0,119.08,6.08,28.91
09:45:55,8.1,2125.0,113.0,119.25,6.25,29.01
09:46:40,8.1,2059.0,113.0,119.43,6.43,29.12
09:47:25,8.1,2013.0,113.0,119.61,6.61,29.22
09:48:10,8.1,1867.0,113.0,119.79,6.79,29.32
09:48:55,7.8,1686.0,113.0,119.96,6.96,29.43
09:49:40,8.1,1815.0,113.0,120.14,7.14,29.53
09:50:25,8.1,1785.0,113.0,120.32,7.32,29.63
09:51:10,8.1,1738.0,113.0,120.5,7.5,29.73
09:51:55,7.8,1625.0,113.0,120.68,7.68,29.84
09:52:40,7.8,1662.0,113.0,120.86,7.86,29.94
09:53:25,8.1,1812.0,113.0,121.04,8.04,30.04
09:54:10,8.1,1973.0,113.0,121.22,8.22,30.14
09:54:55,7.8,1919.0,113.0,121.4,8.4,30.24
09:55:40,7.8,1955.0,113.0,121.58,8.58,30.34
09:56:25,7.8,2053.0,113.0,121.76,8.76,30.45
09:57:10,7.8,2104.0,113.0,121.95,8.95,30.55
09:57:55,8.1,2223.0,113.0,122.13,9.13,30.65
09:58:40,8.1,2280.0,113.0,122.31,9.31,30.75
09:59:25,7.8,2316.0,113.0,122.49,9.49,30.85
10:00:10,7.8,2292.0,113.0,122.68,9.68,30.95
10:00:55,7.8,2193.0,113.0,122.86,9.86,31.05
10:01:40,7.8,2036.0,113.0,123.05,10.05,31.15
10:02:25,7.8,2122.0,113.0,123.23,10.23,31.25
10:03:10,7.8,2224.0,113.0,123.41,10.41,31.35
10:03:55,7.8,2179.0,113.0,123.6,10.6,31.45
10:04:40,7.8,2067.0,113.0,123.78,10.78,31.54
10:05:25,7.8,1954.0,113.0,123.97,10.97,31.64
10:06:10,7.8,1874.0,113.0,124.16,11.16,31.74
10:06:55,7.5,1806.0,113.0,124.34,11.34,31.84
10:07:40,7.5,1760.0,113.0,124.53,11.53,31.94
10:08:25,7.5,1785.0,113.0,124.72,11.72,32.03
10:09:10,7.5,1880.0,113.0,124.9,11.9,32.13
10:09:55,7.5,1941.0,113.0,125.09,12.09,32.23
10:10:40,7.5,1957.0,113.0,125.28,12.28,32.33
10:11:25,7.5,1935.0,113.0,125.47,12.47,32.42
10:12:10,7.5,1850.0,113.0,125.66,12.66,32.52
10:12:55,7.5,1729.0,113.0,125.85,12.85,32.62
10:13:40,7.5,1618.0,113.0,126.04,13.04,32.71
10:14:26,7.5,1486.0,113.0,126.23,13.23,32.81
10:15:11,7.5,1425.0,113.0,126.42,13.42,32.91
10:15:56,7.2,1350.0,113.0,126.61,13.61,33.0
10:16:41,7.2,1299.0,113.0,126.8,13.8,33.1
10:17:26,7.2,1246.0,113.0,127.0,14.0,33.19
10:18:11,7.2,1212.0,113.0,127.19,14.19,33.29
10:18:56,7.2,1237.0,113.0,127.38,14.38,33.38
10:19:41,7.2,1314.0,113.0,127.57,14.57,33.48
10:20:26,7.2,1314.0,113.0,127.77,14.77,33.57
10:21:11,7.2,1312.0,113.0,127.96,14.96,33.66
10:21:56,7.2,1339.0,113.0,128.15,15.15,33.76
