Time, Panel Voltage, Light LUX, Bearing, Solar Azimuth, Offset, Zenith
14:29:13,5.7,586.0,209.0,209.29,0.29,43.48
14:29:58,5.7,567.0,209.0,209.54,0.54,43.42
14:30:43,5.7,651.0,209.0,209.78,0.78,43.36
14:31:28,5.7,717.0,209.0,210.02,1.02,43.3
14:32:13,5.7,648.0,209.0,210.26,1.26,43.24
14:32:58,5.7,534.0,209.0,210.51,1.51,43.18
14:33:43,5.7,496.0,209.0,210.75,1.75,43.12
14:34:28,5.7,687.0,209.0,210.99,1.99,43.06
14:35:13,5.7,627.0,209.0,211.23,2.23,43.0
14:35:58,5.7,536.0,209.0,211.47,2.47,42.94
14:36:43,5.7,612.0,209.0,211.71,2.71,42.88
14:37:28,5.7,585.0,209.0,211.94,2.94,42.82
14:38:13,5.7,468.0,209.0,212.18,3.18,42.75
14:38:58,5.7,434.0,209.0,212.42,3.42,42.69
14:39:43,5.7,662.0,209.0,212.66,3.66,42.63
14:40:28,5.7,734.0,209.0,212.9,3.9,42.56
14:41:13,5.7,672.0,209.0,213.13,4.13,42.5
14:41:58,5.7,638.0,209.0,213.37,4.37,42.43
14:42:43,6.0,833.0,209.0,213.6,4.6,42.37
14:43:28,6.0,915.0,209.0,213.84,4.84,42.3
14:44:13,6.0,785.0,209.0,214.07,5.07,42.24
14:44:58,6.0,928.0,209.0,214.31,5.31,42.17
14:45:43,6.0,1074.0,209.0,214.54,5.54,42.1
14:46:28,6.0,1067.0,209.0,214.77,5.77,42.04
14:47:13,6.0,1003.0,209.0,215.01,6.01,41.97
14:47:58,6.0,887.0,209.0,215.24,6.24,41.9
14:48:43,6.0,660.0,209.0,215.47,6.47,41.83
14:49:28,6.0,942.0,209.0,215.7,6.7,41.76
14:50:13,6.0,873.0,209.0,215.93,6.93,41.69
14:50:58,6.0,766.0,209.0,216.17,7.17,41.62
14:51:43,5.7,642.0,209.0,216.4,7.4,41.55
14:52:28,5.7,591.0,209.0,216.63,7.63,41.48
14:53:13,5.7,692.0,209.0,216.85,7.85,41.41
14:53:58,5.7,628.0,209.0,217.08,8.08,41.34
14:54:43,5.7,501.0,209.0,217.31,8.31,41.27
14:55:28,5.7,672.0,209.0,217.54,8.54,41.2
14:56:13,5.7,635.0,209.0,217.77,8.77,41.13
14:56:58,5.7,548.0,209.0,217.99,8.99,41.05
14:57:43,5.7,531.0,209.0,218.22,9.22,40.98
14:58:28,5.4,407.0,209.0,218.45,9.45,40.91
14:59:13,5.4,455.0,209.0,218.67,9.67,40.83
14:59:58,5.4,500.0,209.0,218.9,9.9,40.76
15:00:43,5.4,517.0,209.0,219.12,10.12,40.68
15:01:28,5.4,504.0,209.0,219.35,10.35,40.61
15:02:13,5.4,419.0,209.0,219.57,10.57,40.53
15:02:58,5.1,346.0,209.0,219.79,10.79,40.46
15:03:43,5.1,359.0,209.0,220.02,11.02,40.38
15:04:28,5.1,333.0,209.0,220.24,11.24,40.31
15:05:13,5.1,387.0,209.0,220.46,11.46,40.23
15:05:58,5.4,515.0,209.0,220.68,11.68,40.15
15:06:43,5.4,519.0,209.0,220.9,11.9,40.08
15:07:28,5.4,523.0,209.0,221.12,12.12,40.0
15:08:13,5.4,569.0,209.0,221.34,12.34,39.92
15:08:58,5.4,583.0,209.0,221.56,12.56,39.84
15:09:43,5.4,514.0,209.0,221.78,12.78,39.76
