Time, Panel Voltage, Light LUX, Bearing, Solar Azimuth, Offset, Zenith
11:44:22,6.3,497.0,152.0,151.98,-0.02,42.15
11:45:07,6.3,566.0,152.0,152.22,0.22,42.21
11:45:52,6.3,582.0,152.0,152.46,0.46,42.27
11:46:37,6.3,585.0,152.0,152.7,0.7,42.32
11:47:22,6.3,578.0,152.0,152.95,0.95,42.37
11:48:07,6.3,584.0,152.0,153.19,1.19,42.43
11:48:52,6.3,587.0,152.0,153.43,1.43,42.48
11:49:37,6.6,625.0,152.0,153.67,1.67,42.54
11:50:22,6.6,658.0,152.0,153.91,1.91,42.59
11:51:07,6.6,691.0,152.0,154.16,2.16,42.64
11:51:52,6.6,710.0,152.0,154.4,2.4,42.69
11:52:37,6.6,696.0,152.0,154.65,2.65,42.74
11:53:22,6.3,652.0,152.0,154.89,2.89,42.79
11:54:07,6.3,670.0,152.0,155.13,3.13,42.84
11:54:52,6.3,597.0,152.0,155.38,3.38,42.89
11:55:37,6.3,599.0,152.0,155.63,3.63,42.94
11:56:22,6.3,587.0,152.0,155.87,3.87,42.99
11:57:07,6.3,578.0,152.0,156.12,4.12,43.04
11:57:52,6.3,629.0,152.0,156.36,4.36,43.09
11:58:37,6.6,659.0,152.0,156.61,4.61,43.14
11:59:22,6.6,691.0,152.0,156.86,4.86,43.18
12:00:07,6.3,694.0,152.0,157.11,5.11,43.23
12:00:52,6.3,610.0,152.0,157.35,5.35,43.28
12:01:37,6.3,648.0,152.0,157.6,5.6,43.32
12:02:22,6.3,559.0,152.0,157.85,5.85,43.37
12:03:07,6.3,516.0,152.0,158.1,6.1,43.41
12:03:52,6.3,473.0,152.0,158.35,6.35,43.45
12:04:37,6.0,471.0,152.0,158.6,6.6,43.5
12:05:22,6.3,482.0,152.0,158.85,6.85,43.54
12:06:07,6.3,457.0,152.0,159.1,7.1,43.58
12:06:52,6.3,428.0,152.0,159.35,7.35,43.63
12:07:37,6.3,395.0,152.0,159.6,7.6,43.67
12:08:22,6.3,425.0,152.0,159.85,7.85,43.71
12:09:07,6.3,498.0,152.0,160.1,8.1,43.75
12:09:52,6.3,651.0,152.0,160.36,8.36,43.79
12:10:37,6.6,736.0,152.0,160.61,8.61,43.83
12:11:22,6.3,568.0,152.0,160.86,8.86,43.87
12:12:07,6.3,505.0,152.0,161.11,9.11,43.91
12:12:52,6.6,830.0,152.0,161.37,9.37,43.95
12:13:37,6.6,682.0,152.0,161.62,9.62,43.98
12:14:22,6.6,714.0,152.0,161.88,9.88,44.02
12:15:07,6.6,781.0,152.0,162.13,10.13,44.06
12:15:52,6.6,782.0,152.0,162.38,10.38,44.1
12:16:37,6.9,871.0,152.0,162.64,10.64,44.13
12:17:22,6.9,951.0,152.0,162.89,10.89,44.17
12:18:07,6.9,997.0,152.0,163.15,11.15,44.2
12:18:52,6.6,933.0,152.0,163.41,11.41,44.24
12:19:37,6.6,864.0,152.0,163.66,11.66,44.27
12:20:22,6.6,893.0,152.0,163.92,11.92,44.3
12:21:07,6.6,875.0,152.0,164.17,12.17,44.34
12:21:52,6.6,782.0,152.0,164.43,12.43,44.37
12:22:37,6.3,624.0,152.0,164.69,12.69,44.4
12:23:22,6.6,595.0,152.0,164.95,12.95,44.43
12:24:07,6.6,688.0,152.0,165.2,13.2,44.46
