Time, Panel Voltage, Light LUX, Bearing, Solar Azimuth, Offset, Zenith
12:45:22,22.8,5135.0,172.0,171.78,-0.22,50.19
12:45:24,22.77,5112.0,171.0,171.79,0.79,50.19
12:45:26,22.71,104.0,170.0,171.8,1.8,50.19
12:45:28,22.38,587.0,169.0,171.82,2.82,50.19
12:45:30,22.35,768.0,168.0,171.83,3.83,50.19
12:45:31,22.44,666.0,167.0,171.84,4.84,50.19
12:45:33,22.71,1713.0,166.0,171.85,5.85,50.19
12:45:35,22.74,4645.0,165.0,171.86,6.86,50.19
12:45:37,22.77,5363.0,164.0,171.87,7.87,50.19
12:45:39,22.77,4759.0,163.0,171.89,8.89,50.19
12:45:41,22.8,3726.0,162.0,171.9,9.9,50.19
12:45:43,22.8,4159.0,161.0,171.91,10.91,50.19
12:45:45,22.77,4749.0,160.0,171.93,11.93,50.19
12:45:47,22.83,4654.0,159.0,171.94,12.94,50.19
12:45:48,22.8,4259.0,158.0,171.94,13.94,50.2
12:45:50,22.83,4617.0,157.0,171.96,14.96,50.2
12:45:52,22.83,4753.0,156.0,171.97,15.97,50.2
12:45:54,22.83,4709.0,155.0,171.98,16.98,50.2
12:45:56,22.83,4695.0,154.0,171.99,17.99,50.2
12:45:57,22.83,4744.0,153.0,172.0,19.0,50.2
12:45:59,22.83,4781.0,152.0,172.01,20.01,50.2
12:46:01,22.86,4806.0,151.0,172.03,21.03,50.2
12:46:03,22.86,4706.0,150.0,172.04,22.04,50.2
12:46:05,22.83,4768.0,149.0,172.05,23.05,50.2
12:46:07,22.86,4765.0,148.0,172.06,24.06,50.2
12:46:09,22.86,4773.0,147.0,172.08,25.08,50.2
12:46:11,22.86,4758.0,146.0,172.09,26.09,50.2
12:46:13,22.86,4746.0,145.0,172.1,27.1,50.2
12:46:14,22.86,4728.0,144.0,172.11,28.11,50.2
12:46:16,22.86,4728.0,143.0,172.12,29.12,50.21
12:46:18,22.86,4724.0,142.0,172.13,30.13,50.21
12:46:20,22.86,4705.0,141.0,172.15,31.15,50.21
12:46:22,22.86,4679.0,140.0,172.16,32.16,50.21
12:46:24,22.77,3311.0,139.0,172.17,33.17,50.21
12:46:25,22.8,2250.0,138.0,172.18,34.18,50.21
12:46:27,22.83,2619.0,137.0,172.19,35.19,50.21
12:46:29,22.83,2446.0,136.0,172.2,36.2,50.21
12:46:31,22.77,3321.0,135.0,172.22,37.22,50.21
12:46:33,22.8,2898.0,134.0,172.23,38.23,50.21
12:46:34,22.8,3501.0,133.0,172.24,39.24,50.21
12:46:36,22.8,2764.0,132.0,172.25,40.25,50.21
12:46:39,22.86,4890.0,131.0,172.27,41.27,50.21
12:46:40,22.86,4879.0,130.0,172.27,42.27,50.21
12:46:42,22.86,4651.0,129.0,172.29,43.29,50.21
