Time, Panel Voltage, Light LUX, Bearing, Solar Azimuth, Offset, Zenith
12:54:23,7.8,3178.0,174.0,174.69,0.69,47.1
12:55:08,7.8,3236.0,174.0,174.96,0.96,47.11
12:55:53,7.8,3209.0,174.0,175.23,1.23,47.12
12:56:38,7.8,3302.0,174.0,175.5,1.5,47.13
12:57:23,7.8,3281.0,174.0,175.78,1.78,47.14
12:58:08,7.8,3392.0,174.0,176.05,2.05,47.15
12:58:53,7.8,3315.0,174.0,176.32,2.32,47.16
12:59:38,7.8,3206.0,174.0,176.6,2.6,47.16
13:00:23,7.5,3062.0,174.0,176.87,2.87,47.17
13:01:08,7.5,3013.0,174.0,177.14,3.14,47.18
13:01:53,7.8,3063.0,174.0,177.41,3.41,47.18
13:02:38,7.8,3014.0,174.0,177.69,3.69,47.19
13:03:23,7.8,2918.0,174.0,177.96,3.96,47.19
13:04:08,7.5,2753.0,174.0,178.23,4.23,47.2
13:04:53,7.5,2688.0,174.0,178.51,4.51,47.2
13:05:38,7.5,2634.0,174.0,178.78,4.78,47.2
13:06:23,7.5,2603.0,174.0,179.05,5.05,47.21
13:07:08,7.5,2572.0,174.0,179.33,5.33,47.21
13:07:53,7.5,2561.0,174.0,179.6,5.6,47.21
13:08:38,7.5,2576.0,174.0,179.87,5.87,47.21
13:09:23,7.5,2565.0,174.0,180.15,6.15,47.21
13:10:08,7.5,2469.0,174.0,180.42,6.42,47.21
13:10:53,7.5,2410.0,174.0,180.69,6.69,47.21
13:11:38,7.5,2361.0,174.0,180.97,6.97,47.21
13:12:23,7.5,2302.0,174.0,181.24,7.24,47.2
13:13:08,7.5,2273.0,174.0,181.51,7.51,47.2
13:13:53,7.5,2250.0,174.0,181.79,7.79,47.2
13:14:38,7.5,2200.0,174.0,182.06,8.06,47.19
13:15:23,7.5,2164.0,174.0,182.33,8.33,47.19
13:16:08,7.5,2149.0,174.0,182.61,8.61,47.19
13:16:53,7.5,2107.0,174.0,182.88,8.88,47.18
13:17:38,7.5,2108.0,174.0,183.15,9.15,47.17
13:18:23,7.5,2133.0,174.0,183.43,9.43,47.17
13:19:08,7.5,2181.0,174.0,183.7,9.7,47.16
13:19:53,7.5,2244.0,174.0,183.97,9.97,47.15
13:20:38,7.5,2350.0,174.0,184.24,10.24,47.14
13:21:23,7.5,2425.0,174.0,184.52,10.52,47.14
13:22:08,7.5,2525.0,174.0,184.79,10.79,47.13
13:22:53,7.5,2659.0,174.0,185.06,11.06,47.12
13:23:38,7.5,2619.0,174.0,185.33,11.33,47.11
13:24:23,7.5,2634.0,174.0,185.61,11.61,47.09
13:25:08,7.5,2634.0,174.0,185.88,11.88,47.08
13:25:53,7.5,2614.0,174.0,186.15,12.15,47.07
13:26:38,7.5,2807.0,174.0,186.42,12.42,47.06
13:27:23,7.5,2826.0,174.0,186.69,12.69,47.04
13:28:08,7.5,2886.0,174.0,186.97,12.97,47.03
13:28:53,7.5,2988.0,174.0,187.24,13.24,47.02
13:29:38,7.5,2913.0,174.0,187.51,13.51,47.0
13:30:23,7.5,2870.0,174.0,187.78,13.78,46.98
13:31:08,7.5,2896.0,174.0,188.05,14.05,46.97
13:31:53,7.5,2808.0,174.0,188.32,14.32,46.95
13:32:38,7.5,2720.0,174.0,188.59,14.59,46.93
13:33:23,7.5,2673.0,174.0,188.86,14.86,46.92
13:34:08,7.5,2512.0,174.0,189.13,15.13,46.9
13:34:53,7.5,2352.0,174.0,189.4,15.4,46.88
13:35:38,7.5,2272.0,174.0,189.67,15.67,46.86
13:36:23,7.5,2159.0,174.0,189.94,15.94,46.84
13:37:08,7.5,1938.0,174.0,190.21,16.21,46.82
13:37:53,7.5,1850.0,174.0,190.48,16.48,46.8
13:38:38,7.5,1710.0,174.0,190.75,16.75,46.78
13:39:23,7.5,1744.0,174.0,191.02,17.02,46.75
13:40:08,7.5,1759.0,174.0,191.29,17.29,46.73
13:40:53,7.5,1752.0,174.0,191.56,17.56,46.71
13:41:38,7.5,1596.0,174.0,191.83,17.83,46.68
13:42:23,7.2,1487.0,174.0,192.1,18.1,46.66
13:43:08,7.2,1623.0,174.0,192.36,18.36,46.64
13:43:53,7.2,1615.0,174.0,192.63,18.63,46.61
13:44:38,7.2,1199.0,174.0,192.9,18.9,46.58
13:45:23,7.2,1101.0,174.0,193.17,19.17,46.56
13:46:08,7.2,1281.0,174.0,193.43,19.43,46.53
13:46:53,7.2,1325.0,174.0,193.7,19.7,46.5
13:47:38,7.2,1135.0,174.0,193.97,19.97,46.47
