Time, Panel Voltage, Light LUX, Bearing, Solar Azimuth, Offset, Zenith
11:21:28,23.13,23754.0,142.0,142.08,0.08,44.93
11:21:30,23.13,23385.0,141.0,142.09,1.09,44.93
11:21:32,23.13,23511.0,140.0,142.1,2.1,44.94
11:21:34,23.13,23909.0,139.0,142.11,3.11,44.94
11:21:36,23.16,24390.0,138.0,142.12,4.12,44.94
11:21:38,23.16,24575.0,137.0,142.13,5.13,44.95
11:21:40,23.16,24923.0,136.0,142.14,6.14,44.95
11:21:42,23.16,25005.0,135.0,142.15,7.15,44.95
11:21:44,23.16,25006.0,134.0,142.16,8.16,44.95
11:21:46,23.16,25158.0,133.0,142.17,9.17,44.96
11:21:48,23.16,25464.0,132.0,142.18,10.18,44.96
11:21:50,23.16,25679.0,131.0,142.19,11.19,44.96
11:21:52,23.16,25556.0,130.0,142.2,12.2,44.97
11:21:53,23.16,25293.0,129.0,142.21,13.21,44.97
11:21:55,23.16,24365.0,128.0,142.22,14.22,44.97
11:21:57,23.13,23327.0,127.0,142.23,15.23,44.98
11:21:59,23.13,22239.0,126.0,142.24,16.24,44.98
11:22:01,23.1,21613.0,125.0,142.25,17.25,44.98
11:22:02,23.1,21591.0,124.0,142.26,18.26,44.98
11:22:04,23.1,21670.0,124.0,142.27,18.27,44.99
11:22:06,23.1,21784.0,123.0,142.28,19.28,44.99
11:22:08,23.1,21545.0,122.0,142.29,20.29,44.99
11:22:10,23.1,20963.0,121.0,142.3,21.3,45.0
11:22:12,23.07,20233.0,120.0,142.31,22.31,45.0
11:22:13,23.07,19622.0,119.0,142.32,23.32,45.0
11:22:15,23.07,19046.0,118.0,142.33,24.33,45.01
11:22:18,23.04,18669.0,117.0,142.34,25.34,45.01
11:22:19,23.04,18507.0,116.0,142.35,26.35,45.01
11:22:21,23.04,18322.0,115.0,142.36,27.36,45.01
11:22:23,23.04,18101.0,114.0,142.37,28.37,45.02
11:22:25,23.01,17829.0,113.0,142.38,29.38,45.02
11:22:27,23.01,17249.0,112.0,142.39,30.39,45.02
11:22:29,23.01,16513.0,111.0,142.4,31.4,45.03
11:22:30,22.98,15839.0,110.0,142.41,32.41,45.03
11:22:32,22.98,14943.0,109.0,142.42,33.42,45.03
11:22:34,22.95,14210.0,108.0,142.43,34.43,45.04
11:22:36,22.95,13914.0,107.0,142.44,35.44,45.04
11:22:38,22.95,13937.0,106.0,142.45,36.45,45.04
11:22:39,22.95,14341.0,105.0,142.45,37.45,45.04
11:22:41,22.95,14890.0,104.0,142.46,38.46,45.05
11:22:43,22.95,15476.0,103.0,142.48,39.48,45.05
11:22:45,22.98,15819.0,102.0,142.49,40.49,45.05
11:22:47,22.98,16191.0,101.0,142.5,41.5,45.06
11:22:49,22.98,16526.0,100.0,142.51,42.51,45.06
11:22:51,22.98,16785.0,99.0,142.52,43.52,45.06
11:22:53,22.98,17277.0,98.0,142.53,44.53,45.07
11:22:55,22.98,17675.0,97.0,142.54,45.54,45.07
11:22:56,22.98,17849.0,96.0,142.54,46.54,45.07
11:22:58,22.98,17941.0,95.0,142.56,47.56,45.07
11:23:00,22.98,17870.0,94.0,142.57,48.57,45.08
11:23:02,22.98,17777.0,93.0,142.58,49.58,45.08
11:23:04,22.98,17538.0,92.0,142.59,50.59,45.08
11:23:06,22.98,17264.0,91.0,142.6,51.6,45.09
11:23:07,22.98,17009.0,90.0,142.6,52.6,45.09
11:23:09,22.95,16729.0,89.0,142.61,53.61,45.09
11:23:11,22.95,16465.0,88.0,142.62,54.62,45.1
11:23:13,22.95,16228.0,87.0,142.64,55.64,45.1
11:23:15,22.92,15994.0,86.0,142.65,56.65,45.1
11:23:17,22.92,15774.0,85.0,142.66,57.66,45.1
11:23:19,22.92,15779.0,84.0,142.67,58.67,45.11
11:23:21,22.92,15984.0,83.0,142.68,59.68,45.11
11:23:23,22.92,16099.0,82.0,142.69,60.69,45.11
11:23:24,22.92,16138.0,81.0,142.69,61.69,45.12
11:23:26,22.92,16097.0,80.0,142.7,62.7,45.12
11:23:28,22.92,15976.0,79.0,142.71,63.71,45.12
11:23:30,22.89,15866.0,78.0,142.73,64.73,45.13
11:23:32,22.89,15739.0,77.0,142.74,65.74,45.13
11:23:34,22.89,15633.0,76.0,142.75,66.75,45.13
11:23:35,22.89,15634.0,75.0,142.75,67.75,45.13
11:23:37,22.89,15749.0,74.0,142.76,68.76,45.14
11:23:39,22.89,16024.0,73.0,142.77,69.77,45.14
11:23:41,22.89,16462.0,72.0,142.78,70.78,45.14
11:23:43,22.89,17208.0,71.0,142.79,71.79,45.15
11:23:45,22.92,18067.0,70.0,142.81,72.81,45.15
11:23:46,22.92,18692.0,69.0,142.81,73.81,45.15
11:23:49,22.92,19137.0,68.0,142.83,74.83,45.16
11:23:51,22.92,19350.0,67.0,142.84,75.84,45.16
11:23:52,22.92,19353.0,66.0,142.84,76.84,45.16
11:23:54,22.89,19296.0,65.0,142.85,77.85,45.16
11:23:56,22.89,19102.0,64.0,142.86,78.86,45.17
11:23:58,22.89,18873.0,63.0,142.88,79.88,45.17
11:24:00,22.86,18406.0,62.0,142.89,80.89,45.17
11:24:02,22.86,18009.0,61.0,142.9,81.9,45.18
11:24:03,22.86,17738.0,60.0,142.9,82.9,45.18
11:24:05,22.83,17432.0,59.0,142.91,83.91,45.18
11:24:07,22.83,17200.0,58.0,142.92,84.92,45.18
11:24:09,22.83,16980.0,57.0,142.93,85.93,45.19
11:24:11,22.8,16886.0,56.0,142.94,86.94,45.19
11:24:13,22.8,17040.0,55.0,142.96,87.96,45.19
11:24:14,22.8,17289.0,54.0,142.96,88.96,45.2
11:24:16,22.8,17672.0,53.0,142.97,89.97,45.2
11:24:18,22.8,18012.0,52.0,142.98,90.98,45.2
11:24:21,22.8,18385.0,51.0,143.0,92.0,45.21
11:24:23,22.8,18900.0,50.0,143.01,93.01,45.21
11:24:25,22.8,19608.0,49.0,143.02,94.02,45.21
11:24:27,22.8,20663.0,48.0,143.03,95.03,45.22
11:24:29,22.8,21430.0,47.0,143.04,96.04,45.22
11:24:30,22.8,21779.0,46.0,143.05,97.05,45.22
11:24:32,22.77,21751.0,45.0,143.06,98.06,45.22
11:24:34,22.77,21286.0,44.0,143.07,99.07,45.23
11:24:36,22.77,20996.0,43.0,143.08,100.08,45.23
11:24:38,22.74,20480.0,42.0,143.09,101.09,45.23
11:24:40,22.71,19535.0,41.0,143.1,102.1,45.24
