Time, Panel Voltage, Light LUX, Bearing, Solar Azimuth, Offset, Zenith
16:23:18,-8.4,10851.0,243.0,242.96,-0.04,33.6
16:23:22,-8.4,10795.0,244.0,242.97,-1.03,33.59
16:23:26,-8.4,10787.0,245.0,242.99,-2.01,33.58
16:23:30,-8.4,10780.0,246.0,243.01,-2.99,33.57
16:23:34,-8.4,10790.0,247.0,243.02,-3.98,33.56
16:23:38,-8.4,10573.0,248.0,243.04,-4.96,33.55
16:23:42,-8.4,10767.0,249.0,243.05,-5.95,33.54
16:23:46,-8.4,10773.0,250.0,243.07,-6.93,33.53
16:23:50,-8.4,10763.0,251.0,243.09,-7.91,33.52
16:23:53,-8.4,10765.0,252.0,243.1,-8.9,33.52
16:23:57,-8.4,10748.0,253.0,243.11,-9.89,33.51
16:24:01,-8.4,10779.0,254.0,243.13,-10.87,33.5
16:24:05,-8.4,10758.0,255.0,243.15,-11.85,33.49
16:24:09,-8.4,10748.0,256.0,243.16,-12.84,33.48
16:24:13,-8.4,10733.0,257.0,243.18,-13.82,33.47
16:24:18,-8.4,10706.0,258.0,243.2,-14.8,33.46
16:24:22,-8.4,10693.0,259.0,243.21,-15.79,33.45
16:24:25,-8.4,10672.0,260.0,243.23,-16.77,33.44
16:24:29,-8.4,10651.0,261.0,243.24,-17.76,33.43
16:24:33,-8.4,10632.0,262.0,243.26,-18.74,33.42
16:24:37,-8.4,10627.0,263.0,243.27,-19.73,33.41
16:24:41,-8.4,10619.0,264.0,243.29,-20.71,33.4
16:24:44,-8.4,10604.0,265.0,243.3,-21.7,33.4
16:24:48,-8.4,10588.0,266.0,243.32,-22.68,33.39
16:24:52,-8.4,10571.0,267.0,243.33,-23.67,33.38
16:24:56,-8.4,10554.0,268.0,243.35,-24.65,33.37
16:25:00,-8.4,10552.0,269.0,243.37,-25.63,33.36
16:25:04,-8.4,10539.0,270.0,243.38,-26.62,33.35
16:25:07,-8.4,10511.0,271.0,243.39,-27.61,33.34
16:25:11,-8.4,10491.0,272.0,243.41,-28.59,33.33
16:25:15,-8.4,10491.0,273.0,243.43,-29.57,33.32
16:25:19,-8.4,10484.0,274.0,243.44,-30.56,33.32
16:25:23,-8.4,10455.0,275.0,243.46,-31.54,33.31
16:25:27,-8.4,10442.0,276.0,243.47,-32.53,33.3
16:25:31,-8.4,10452.0,277.0,243.49,-33.51,33.29
16:25:34,-8.4,10448.0,278.0,243.5,-34.5,33.28
16:25:38,-8.4,10441.0,279.0,243.52,-35.48,33.27
16:25:42,-8.4,10425.0,280.0,243.53,-36.47,33.26
16:25:46,-8.4,10429.0,281.0,243.55,-37.45,33.25
16:25:49,-8.4,10437.0,282.0,243.56,-38.44,33.24
16:25:53,-8.4,10398.0,283.0,243.58,-39.42,33.24
16:25:57,-8.4,10410.0,284.0,243.59,-40.41,33.23
16:26:01,-8.4,10404.0,285.0,243.61,-41.39,33.22
16:26:05,-8.4,10389.0,286.0,243.63,-42.37,33.21
16:26:10,-8.4,10382.0,287.0,243.65,-43.35,33.2
16:26:13,-8.4,10373.0,288.0,243.66,-44.34,33.19
16:26:17,-8.4,10383.0,289.0,243.67,-45.33,33.18
16:26:21,-8.4,10376.0,290.0,243.69,-46.31,33.17
16:26:25,-8.4,10359.0,291.0,243.71,-47.29,33.16
16:26:29,-8.4,10351.0,292.0,243.72,-48.28,33.15
16:26:33,-8.4,10355.0,293.0,243.74,-49.26,33.14
16:26:37,-8.4,10336.0,294.0,243.75,-50.25,33.13
16:26:41,-8.4,10341.0,295.0,243.77,-51.23,33.12
