Time, Panel Voltage, Light LUX, Bearing, Solar Azimuth, Offset, Zenith
16:15:01,-8.4,11908.0,241.0,240.93,-0.07,34.75
16:15:05,-8.4,11829.0,240.0,240.95,0.95,34.74
16:15:09,-8.4,11772.0,239.0,240.97,1.97,34.73
16:15:13,-8.4,11643.0,238.0,240.98,2.98,34.73
16:15:16,-8.4,10564.0,237.0,241.0,4.0,34.72
16:15:21,-8.4,12020.0,236.0,241.02,5.02,34.71
16:15:25,-8.4,11760.0,235.0,241.03,6.03,34.7
16:15:28,-8.4,11706.0,234.0,241.04,7.04,34.69
16:15:32,-8.4,11703.0,233.0,241.06,8.06,34.68
16:15:36,-8.4,11677.0,232.0,241.08,9.08,34.67
16:15:40,-8.4,11658.0,231.0,241.09,10.09,34.66
16:15:44,-8.4,11666.0,230.0,241.11,11.11,34.65
16:15:47,-8.4,11685.0,229.0,241.12,12.12,34.65
16:15:51,-8.4,11672.0,228.0,241.14,13.14,34.64
16:15:55,-8.4,11682.0,227.0,241.16,14.16,34.63
16:15:59,-8.4,11708.0,226.0,241.17,15.17,34.62
16:16:03,-8.4,11674.0,225.0,241.19,16.19,34.61
16:16:07,-8.4,11764.0,224.0,241.2,17.2,34.6
16:16:11,-8.4,11758.0,223.0,241.22,18.22,34.59
16:16:15,-8.4,11747.0,222.0,241.24,19.24,34.58
16:16:19,-8.4,11701.0,221.0,241.25,20.25,34.57
16:16:23,-8.4,11686.0,220.0,241.27,21.27,34.56
16:16:27,-8.4,11707.0,219.0,241.29,22.29,34.55
16:16:31,-8.4,11685.0,218.0,241.3,23.3,34.55
16:16:34,-8.4,11653.0,217.0,241.32,24.32,34.54
16:16:38,-8.4,11645.0,216.0,241.33,25.33,34.53
16:16:42,-8.4,11650.0,215.0,241.35,26.35,34.52
16:16:46,-8.4,11661.0,214.0,241.36,27.36,34.51
16:16:49,-8.4,11633.0,213.0,241.38,28.38,34.5
16:16:53,-8.4,11631.0,212.0,241.39,29.39,34.49
16:16:57,-8.4,11604.0,211.0,241.41,30.41,34.49
16:17:01,-8.4,11602.0,210.0,241.43,31.43,34.48
16:17:05,-8.4,11579.0,209.0,241.44,32.44,34.47
16:17:08,-8.4,11564.0,208.0,241.45,33.45,34.46
16:17:12,-8.4,11556.0,207.0,241.47,34.47,34.45
16:17:17,-8.4,11552.0,206.0,241.49,35.49,34.44
16:17:20,-8.4,11531.0,205.0,241.5,36.5,34.43
16:17:24,-8.4,11525.0,204.0,241.52,37.52,34.42
16:17:28,-8.4,11517.0,203.0,241.54,38.54,34.41
16:17:32,-8.4,11523.0,202.0,241.55,39.55,34.4
16:17:35,-8.4,11510.0,201.0,241.57,40.57,34.4
16:17:39,-8.4,11500.0,200.0,241.58,41.58,34.39
16:17:43,-8.4,11502.0,199.0,241.6,42.6,34.38
16:17:47,-8.4,11496.0,198.0,241.61,43.61,34.37
16:17:51,-8.4,11500.0,197.0,241.63,44.63,34.36
16:17:54,-8.4,11473.0,196.0,241.64,45.64,34.35
16:17:58,-8.1,11461.0,195.0,241.66,46.66,34.34
16:18:02,-8.1,11457.0,194.0,241.68,47.68,34.34
16:18:06,-8.1,11446.0,193.0,241.69,48.69,34.33
16:18:10,-8.1,11419.0,192.0,241.71,49.71,34.32
16:18:14,-8.1,11394.0,191.0,241.72,50.72,34.31
16:18:18,-8.1,11371.0,190.0,241.74,51.74,34.3
16:18:22,-8.1,11370.0,189.0,241.76,52.76,34.29
16:18:26,-8.1,11349.0,188.0,241.77,53.77,34.28
16:18:30,-8.1,11336.0,187.0,241.79,54.79,34.27
16:18:34,-8.1,11326.0,186.0,241.81,55.81,34.26
16:18:37,-8.1,11301.0,185.0,241.82,56.82,34.25
16:18:41,-8.1,11291.0,184.0,241.83,57.83,34.24
16:18:45,-8.1,11282.0,183.0,241.85,58.85,34.24
16:18:49,-8.1,11278.0,182.0,241.87,59.87,34.23
16:18:53,-8.1,11278.0,181.0,241.88,60.88,34.22
16:18:57,-8.1,11274.0,180.0,241.9,61.9,34.21
