Time, Panel Voltage, Light LUX, Bearing, Solar Azimuth, Offset, Zenith
08:11:20,8.1,1391.0,98.0,98.12,0.12,16.27
08:12:05,8.1,1453.0,98.0,98.27,0.27,16.39
08:12:50,8.1,1458.0,98.0,98.42,0.42,16.51
08:13:35,8.1,1504.0,98.0,98.57,0.57,16.62
08:14:20,8.1,1566.0,98.0,98.72,0.72,16.74
08:15:05,8.1,1606.0,98.0,98.87,0.87,16.86
08:15:50,8.1,1743.0,98.0,99.02,1.02,16.97
08:16:35,8.1,1767.0,98.0,99.17,1.17,17.09
08:17:20,8.1,1828.0,98.0,99.32,1.32,17.21
08:18:05,8.1,1886.0,98.0,99.47,1.47,17.32
08:18:50,8.1,1881.0,98.0,99.62,1.62,17.44
08:19:35,8.1,1902.0,98.0,99.78,1.78,17.56
08:20:20,8.1,1964.0,98.0,99.93,1.93,17.67
08:21:05,8.1,1914.0,98.0,100.08,2.08,17.79
08:21:50,8.1,1967.0,98.0,100.23,2.23,17.91
08:22:35,8.1,1919.0,98.0,100.38,2.38,18.02
08:23:20,8.1,1948.0,98.0,100.53,2.53,18.14
08:24:05,8.1,1820.0,98.0,100.69,2.69,18.26
08:24:50,7.8,1796.0,98.0,100.84,2.84,18.37
08:25:35,8.1,1839.0,98.0,100.99,2.99,18.49
08:26:20,8.1,1930.0,98.0,101.14,3.14,18.61
08:27:05,8.1,1752.0,98.0,101.3,3.3,18.72
08:27:50,8.1,2223.0,98.0,101.45,3.45,18.84
08:28:35,8.1,2108.0,98.0,101.6,3.6,18.96
08:29:20,8.1,2007.0,98.0,101.76,3.76,19.07
08:30:06,8.1,1737.0,98.0,101.91,3.91,19.19
08:30:51,8.1,2119.0,98.0,102.07,4.07,19.31
08:31:36,7.8,2092.0,98.0,102.22,4.22,19.42
08:32:21,7.8,2077.0,98.0,102.38,4.38,19.54
08:33:06,7.8,1975.0,98.0,102.53,4.53,19.65
08:33:51,7.8,1980.0,98.0,102.68,4.68,19.77
