Time, Panel Voltage, Light LUX, Bearing, Solar Azimuth, Offset, Zenith
09:08:50,8.1,2423.0,110.0,110.29,0.29,24.73
09:09:35,8.1,2923.0,110.0,110.45,0.45,24.84
09:10:20,8.1,2880.0,110.0,110.62,0.62,24.96
09:11:05,8.1,2917.0,110.0,110.78,0.78,25.07
09:11:50,8.1,2838.0,110.0,110.95,0.95,25.18
09:12:35,8.1,3223.0,110.0,111.11,1.11,25.29
09:13:20,8.1,2715.0,110.0,111.28,1.28,25.4
09:14:05,7.8,2323.0,110.0,111.44,1.44,25.51
09:14:50,8.1,2605.0,110.0,111.61,1.61,25.62
09:15:35,8.1,2703.0,110.0,111.77,1.77,25.73
09:16:20,8.1,3068.0,110.0,111.94,1.94,25.84
09:17:05,8.1,2916.0,110.0,112.11,2.11,25.95
09:17:50,8.1,2856.0,110.0,112.27,2.27,26.06
09:18:35,8.1,2909.0,110.0,112.44,2.44,26.17
09:19:20,8.1,2986.0,110.0,112.61,2.61,26.28
09:20:05,8.1,3225.0,110.0,112.78,2.78,26.39
09:20:50,8.1,2947.0,110.0,112.94,2.94,26.5
09:21:35,7.8,2844.0,110.0,113.11,3.11,26.61
09:22:20,7.5,2317.0,110.0,113.28,3.28,26.72
09:23:05,7.2,2076.0,110.0,113.45,3.45,26.83
09:23:50,7.5,2549.0,110.0,113.62,3.62,26.93
09:24:35,7.5,2488.0,110.0,113.79,3.79,27.04
09:25:20,7.5,2118.0,110.0,113.96,3.96,27.15
09:26:05,7.5,2118.0,110.0,114.13,4.13,27.26
09:26:50,7.5,2644.0,110.0,114.3,4.3,27.37
09:27:35,7.2,1705.0,110.0,114.47,4.47,27.48
09:28:20,7.2,1491.0,110.0,114.64,4.64,27.58
09:29:05,7.2,1858.0,110.0,114.81,4.81,27.69
09:29:50,7.2,2022.0,110.0,114.98,4.98,27.8
09:30:35,7.2,1532.0,110.0,115.15,5.15,27.91
09:31:20,7.2,1825.0,110.0,115.32,5.32,28.01
09:32:05,7.5,2343.0,110.0,115.5,5.5,28.12
09:32:50,7.5,2386.0,110.0,115.67,5.67,28.23
09:33:35,7.5,1790.0,110.0,115.84,5.84,28.34
09:34:20,7.8,2849.0,110.0,116.02,6.02,28.44
09:35:05,7.8,3100.0,110.0,116.19,6.19,28.55
09:35:50,7.8,3249.0,110.0,116.36,6.36,28.65
09:36:35,7.8,3533.0,110.0,116.54,6.54,28.76
09:37:20,7.8,3628.0,110.0,116.71,6.71,28.87
09:38:05,8.1,3576.0,110.0,116.89,6.89,28.97
09:38:50,8.4,3661.0,110.0,117.06,7.06,29.08
09:39:35,8.4,4356.0,110.0,117.24,7.24,29.18
09:40:20,8.1,3001.0,110.0,117.41,7.41,29.29
09:41:05,8.1,3453.0,110.0,117.59,7.59,29.4
09:41:50,8.4,3865.0,110.0,117.76,7.76,29.5
