Time, Panel Voltage, Light LUX, Bearing, Solar Azimuth, Offset, Zenith
17:03:03,14.946,38.0436,45.0,255.11,210.11,59.66
17:03:05,14.947,38.6551,44.0,255.12,211.12,59.66
17:03:07,14.95,38.6786,43.0,255.13,212.13,59.67
17:03:09,14.95,38.3846,42.0,255.14,213.14,59.67
17:03:10,14.948,38.1729,41.0,255.14,214.14,59.67
17:03:12,14.948,37.4556,40.0,255.15,215.15,59.68
17:03:14,14.95,37.3262,39.0,255.15,216.15,59.68
17:03:16,14.947,36.8206,38.0,255.16,217.16,59.69
17:03:18,14.948,36.7147,37.0,255.17,218.17,59.69
17:03:20,14.949,36.9028,36.0,255.18,219.18,59.7
