Time, Panel Voltage, Light LUX, Bearing, Solar Azimuth, Offset, Zenith
10:42:52,23.46,7461.0,130.0,130.51,0.51,40.7
10:42:54,23.46,7457.0,129.0,130.52,1.52,40.71
10:42:56,23.46,7452.0,128.0,130.53,2.53,40.71
10:42:58,23.46,7457.0,127.0,130.54,3.54,40.71
10:43:00,23.46,7454.0,126.0,130.55,4.55,40.72
10:43:02,23.46,7468.0,125.0,130.56,5.56,40.72
10:43:04,23.46,7467.0,124.0,130.57,6.57,40.73
10:43:06,23.43,7459.0,123.0,130.58,7.58,40.73
10:43:08,23.43,7459.0,122.0,130.59,8.59,40.73
10:43:10,23.43,7431.0,121.0,130.6,9.6,40.74
10:43:12,23.43,7435.0,120.0,130.61,10.61,40.74
10:43:14,23.43,7431.0,119.0,130.62,11.62,40.75
10:43:15,23.43,7439.0,118.0,130.62,12.62,40.75
10:43:17,23.43,7435.0,117.0,130.63,13.63,40.75
10:43:19,23.43,7433.0,116.0,130.64,14.64,40.76
10:43:21,23.43,7450.0,115.0,130.65,15.65,40.76
10:43:23,23.43,7431.0,114.0,130.66,16.66,40.76
10:43:25,23.43,7437.0,113.0,130.67,17.67,40.77
10:43:27,23.4,7431.0,112.0,130.68,18.68,40.77
10:43:28,23.4,7437.0,111.0,130.68,19.68,40.77
10:43:30,23.4,7428.0,110.0,130.69,20.69,40.78
10:43:32,23.4,7431.0,109.0,130.7,21.7,40.78
10:43:34,23.4,7422.0,108.0,130.71,22.71,40.79
10:43:36,23.4,7428.0,107.0,130.72,23.72,40.79
10:43:38,23.4,7435.0,106.0,130.73,24.73,40.79
10:43:40,23.4,7437.0,105.0,130.74,25.74,40.8
10:43:42,23.4,7428.0,104.0,130.75,26.75,40.8
10:43:44,23.4,7445.0,103.0,130.76,27.76,40.81
10:43:46,23.4,7445.0,102.0,130.77,28.77,40.81
10:43:47,23.37,7456.0,101.0,130.77,29.77,40.81
10:43:49,23.37,7449.0,100.0,130.78,30.78,40.82
10:43:51,23.37,7455.0,99.0,130.79,31.79,40.82
10:43:53,23.37,7449.0,98.0,130.8,32.8,40.82
10:43:55,23.37,7457.0,97.0,130.81,33.81,40.83
10:43:57,23.37,7457.0,96.0,130.82,34.82,40.83
10:43:59,23.34,7448.0,95.0,130.83,35.83,40.84
10:44:01,23.34,7457.0,94.0,130.84,36.84,40.84
10:44:03,23.34,7457.0,93.0,130.85,37.85,40.84
10:44:05,23.34,7448.0,92.0,130.86,38.86,40.85
10:44:07,23.34,7450.0,91.0,130.87,39.87,40.85
10:44:09,23.34,7453.0,90.0,130.87,40.87,40.86
10:44:11,23.34,7450.0,89.0,130.88,41.88,40.86
10:44:13,23.31,7438.0,88.0,130.89,42.89,40.86
10:44:15,23.31,7453.0,87.0,130.9,43.9,40.87
10:44:17,23.31,7433.0,86.0,130.91,44.91,40.87
10:44:19,23.31,7440.0,85.0,130.92,45.92,40.88
10:44:20,23.31,7450.0,84.0,130.93,46.93,40.88
10:44:22,23.31,7451.0,83.0,130.94,47.94,40.88
10:44:24,23.28,7500.0,82.0,130.95,48.95,40.89
10:44:26,23.28,7579.0,81.0,130.95,49.95,40.89
