Time, Panel Voltage, Light LUX, Bearing, Solar Azimuth, Offset, Zenith
11:42:41,8.1,4747.0,144.0,149.81,5.81,43.61
11:43:26,8.1,4731.0,144.0,150.05,6.05,43.67
11:44:11,8.1,5332.0,144.0,150.29,6.29,43.72
11:44:56,8.1,4464.0,144.0,150.54,6.54,43.78
11:45:41,8.1,4084.0,144.0,150.78,6.78,43.84
11:46:26,8.1,4786.0,144.0,151.03,7.03,43.9
11:47:11,7.8,4145.0,144.0,151.27,7.27,43.96
11:47:56,7.8,5159.0,144.0,151.52,7.52,44.01
11:48:41,7.8,5172.0,144.0,151.76,7.76,44.07
11:49:26,8.1,5372.0,144.0,152.01,8.01,44.13
11:50:11,7.8,4011.0,144.0,152.26,8.26,44.18
11:50:56,8.1,4596.0,144.0,152.5,8.5,44.24
11:51:41,8.1,4845.0,144.0,152.75,8.75,44.29
11:52:26,7.8,4840.0,144.0,153.0,9.0,44.35
11:53:11,7.8,4748.0,144.0,153.25,9.25,44.4
11:53:56,7.5,3272.0,144.0,153.5,9.5,44.45
11:54:41,7.5,2885.0,144.0,153.75,9.75,44.51
11:55:26,7.5,3464.0,144.0,154.0,10.0,44.56
11:56:11,8.1,4796.0,144.0,154.25,10.25,44.61
11:56:56,8.1,4981.0,144.0,154.5,10.5,44.66
11:57:41,8.1,5047.0,144.0,154.75,10.75,44.71
11:58:26,8.1,4568.0,144.0,155.0,11.0,44.76
11:59:11,8.1,4944.0,144.0,155.25,11.25,44.81
11:59:56,7.5,3670.0,144.0,155.51,11.51,44.86
12:00:41,7.5,3248.0,144.0,155.76,11.76,44.91
12:01:26,7.5,2794.0,144.0,156.01,12.01,44.96
12:02:11,7.5,2489.0,144.0,156.26,12.26,45.01
12:02:56,7.5,2249.0,144.0,156.52,12.52,45.06
12:03:41,7.5,2818.0,144.0,156.77,12.77,45.1
12:04:26,7.8,3572.0,144.0,157.03,13.03,45.15
12:05:11,7.8,4209.0,144.0,157.28,13.28,45.2
12:05:56,8.1,4905.0,144.0,157.54,13.54,45.24
12:06:41,7.8,3271.0,144.0,157.79,13.79,45.29
12:07:26,7.8,3278.0,144.0,158.05,14.05,45.33
12:08:11,7.8,2427.0,144.0,158.31,14.31,45.38
12:08:56,7.8,2520.0,144.0,158.56,14.56,45.42
12:09:41,7.8,2662.0,144.0,158.82,14.82,45.46
12:10:26,7.5,2336.0,144.0,159.08,15.08,45.51
12:11:11,7.5,2051.0,144.0,159.34,15.34,45.55
12:11:56,7.5,1846.0,144.0,159.6,15.6,45.59
12:12:41,7.5,1960.0,144.0,159.85,15.85,45.63
12:13:26,7.5,2388.0,144.0,160.11,16.11,45.67
12:14:11,7.8,2662.0,144.0,160.37,16.37,45.71
12:14:56,7.8,3401.0,144.0,160.63,16.63,45.75
12:15:41,7.8,3623.0,144.0,160.89,16.89,45.79
12:16:26,7.8,3786.0,144.0,161.15,17.15,45.83
12:17:11,7.8,4041.0,144.0,161.41,17.41,45.87
12:17:56,7.8,4509.0,144.0,161.68,17.68,45.91
12:18:41,7.8,4944.0,144.0,161.94,17.94,45.94
12:19:26,8.1,5672.0,144.0,162.2,18.2,45.98
12:20:11,7.8,4810.0,144.0,162.46,18.46,46.02
12:20:56,7.8,2997.0,144.0,162.72,18.72,46.05
12:21:41,7.8,2683.0,144.0,162.99,18.99,46.09
12:22:26,7.8,2511.0,144.0,163.25,19.25,46.12
12:23:11,7.8,2140.0,144.0,163.51,19.51,46.16
12:23:56,7.8,2500.0,144.0,163.78,19.78,46.19
12:24:41,7.8,2814.0,144.0,164.04,20.04,46.22
12:25:26,7.8,2461.0,144.0,164.31,20.31,46.26
12:26:11,7.8,3210.0,144.0,164.57,20.57,46.29
12:26:56,7.8,3294.0,144.0,164.83,20.83,46.32
12:27:41,7.8,3355.0,144.0,165.1,21.1,46.35
12:28:26,7.8,3296.0,144.0,165.37,21.37,46.38
12:29:11,7.8,3312.0,144.0,165.63,21.63,46.41
12:29:56,7.8,3749.0,144.0,165.9,21.9,46.44
12:30:41,7.8,4182.0,144.0,166.16,22.16,46.47
12:31:26,7.8,4052.0,144.0,166.43,22.43,46.5
12:32:11,7.8,3101.0,144.0,166.7,22.7,46.52
12:32:56,7.8,3296.0,144.0,166.96,22.96,46.55
12:33:41,7.8,3192.0,144.0,167.23,23.23,46.58
12:34:26,7.8,3369.0,144.0,167.5,23.5,46.6
12:35:11,7.8,3800.0,144.0,167.77,23.77,46.63
12:35:56,7.8,4520.0,144.0,168.03,24.03,46.66
12:36:41,7.8,4631.0,144.0,168.3,24.3,46.68
12:37:26,7.8,3548.0,144.0,168.57,24.57,46.7
12:38:11,7.8,3276.0,144.0,168.84,24.84,46.73
12:38:56,7.8,3259.0,144.0,169.11,25.11,46.75
12:39:41,7.8,3621.0,144.0,169.38,25.38,46.77
12:40:26,7.8,3465.0,144.0,169.65,25.65,46.79
12:41:11,7.8,3353.0,144.0,169.92,25.92,46.82
12:41:56,7.8,3743.0,144.0,170.19,26.19,46.84
12:42:41,7.8,3901.0,144.0,170.46,26.46,46.86
12:43:26,7.8,3599.0,144.0,170.73,26.73,46.88
12:44:11,7.8,3812.0,144.0,171.0,27.0,46.89
12:44:56,7.8,4132.0,144.0,171.27,27.27,46.91
12:45:41,7.8,3231.0,144.0,171.54,27.54,46.93
12:46:26,7.8,3011.0,144.0,171.81,27.81,46.95
12:47:11,7.8,3317.0,144.0,172.08,28.08,46.97
12:47:56,7.8,3370.0,144.0,172.35,28.35,46.98
12:48:41,7.8,2878.0,144.0,172.62,28.62,47.0
12:49:26,7.8,2718.0,144.0,172.89,28.89,47.01
12:50:11,7.8,2743.0,144.0,173.16,29.16,47.03
12:50:56,7.8,2839.0,144.0,173.44,29.44,47.04
12:51:41,7.8,2885.0,144.0,173.71,29.71,47.05
12:52:26,7.8,2768.0,144.0,173.98,29.98,47.07
12:53:11,7.8,2728.0,144.0,174.25,30.25,47.08
